player,goals,goals_penalty,goals_header,goals_left_foot,goals_right_foot,goals_other_body_part,goals_with_first_touch,goals_in_goal_area,goals_in_penalty_area,goals_in_attacking_third,goals_in_middle_third,goals_inside_penalty_area,goals_outside_penalty_area,goals_long_distance,goals_mid_distance,goals_short_distance,goals_avg_distance,shots_total,shots_on_target,shots_from_freekick,shots_from_penalty,shots_on_target_left_foot,shots_on_target_right_foot,shots_with_first_touch,shots_in_goal_area,shots_in_penalty_area,shots_in_attacking_third,shots_in_middle_third,shots_inside_penalty_area,shots_outside_penalty_area,shots_long_distance,shots_mid_distance,shots_short_distance,shots_avg_distance,goal_normal,goal_volley,goal_half_volley,goal_lob,goal_backheel,goal_overhead_kick,goal_diving_header,xG,big_chances_total,big_chances_led_to_goal,last_minute_goals,up_goals,up_goals_penalty,up_goals_header,up_goals_left_foot,up_goals_right_foot,up_goals_other_body_part,up_goals_with_first_touch,up_goals_in_goal_area,up_goals_in_penalty_area,up_goals_in_attacking_third,up_goals_in_middle_third,up_goals_inside_penalty_area,up_goals_outside_penalty_area,up_goals_long_distance,up_goals_mid_distance,up_goals_short_distance,up_goals_avg_distance,up_shots_total,up_shots_on_target,up_shots_from_freekick,up_shots_from_penalty,up_shots_on_target_left_foot,up_shots_on_target_right_foot,up_shots_with_first_touch,up_shots_in_goal_area,up_shots_in_penalty_area,up_shots_in_attacking_third,up_shots_in_middle_third,up_shots_inside_penalty_area,up_shots_outside_penalty_area,up_shots_long_distance,up_shots_mid_distance,up_shots_short_distance,up_shots_avg_distance,up_goal_normal,up_goal_volley,up_goal_half_volley,up_goal_lob,up_goal_backheel,up_goal_overhead_kick,up_goal_diving_header,up_xG,up_big_chances_total,up_big_chances_led_to_goal,up_last_minute_goals,equalizer,first_goal,leading_goal,goals_important,shots_on_target_%,shot_conversion_%,shot_conversion_on_target_%,big_chances_conversion_%,up_shot_conversion_%,up_shots_on_target_%,up_big_chances_conversion_%,shots_inside_the_box_%,shots_outside_the_box_%,goals_right_foot_%,goals_left_foot_%,goals_with_first_touch_%,big_chance_conversion_%,goals_outside_penalty_area_%,goals_inside_penalty_area_%,goals_header_%,goals_per_match,goals_penalty_per_match,goals_header_per_match,goals_left_foot_per_match,goals_right_foot_per_match,goals_other_body_part_per_match,goals_with_first_touch_per_match,goals_in_goal_area_per_match,goals_in_penalty_area_per_match,goals_in_attacking_third_per_match,goals_in_middle_third_per_match,goals_inside_penalty_area_per_match,goals_outside_penalty_area_per_match,goals_long_distance_per_match,goals_mid_distance_per_match,goals_short_distance_per_match,goals_avg_distance_per_match,shots_total_per_match,shots_on_target_per_match,shots_from_freekick_per_match,shots_from_penalty_per_match,shots_on_target_left_foot_per_match,shots_on_target_right_foot_per_match,shots_with_first_touch_per_match,shots_in_goal_area_per_match,shots_in_penalty_area_per_match,shots_in_attacking_third_per_match,shots_in_middle_third_per_match,shots_inside_penalty_area_per_match,shots_outside_penalty_area_per_match,shots_long_distance_per_match,shots_mid_distance_per_match,shots_short_distance_per_match,shots_avg_distance_per_match,goal_normal_per_match,goal_volley_per_match,goal_half_volley_per_match,goal_lob_per_match,goal_backheel_per_match,goal_overhead_kick_per_match,goal_diving_header_per_match,xG_per_match,big_chances_total_per_match,big_chances_led_to_goal_per_match,last_minute_goals_per_match,up_goals_per_match,up_goals_penalty_per_match,up_goals_header_per_match,up_goals_left_foot_per_match,up_goals_right_foot_per_match,up_goals_other_body_part_per_match,up_goals_with_first_touch_per_match,up_goals_in_goal_area_per_match,up_goals_in_penalty_area_per_match,up_goals_in_attacking_third_per_match,up_goals_in_middle_third_per_match,up_goals_inside_penalty_area_per_match,up_goals_outside_penalty_area_per_match,up_goals_long_distance_per_match,up_goals_mid_distance_per_match,up_goals_short_distance_per_match,up_goals_avg_distance_per_match,up_shots_total_per_match,up_shots_on_target_per_match,up_shots_from_freekick_per_match,up_shots_from_penalty_per_match,up_shots_on_target_left_foot_per_match,up_shots_on_target_right_foot_per_match,up_shots_with_first_touch_per_match,up_shots_in_goal_area_per_match,up_shots_in_penalty_area_per_match,up_shots_in_attacking_third_per_match,up_shots_in_middle_third_per_match,up_shots_inside_penalty_area_per_match,up_shots_outside_penalty_area_per_match,up_shots_long_distance_per_match,up_shots_mid_distance_per_match,up_shots_short_distance_per_match,up_shots_avg_distance_per_match,up_goal_normal_per_match,up_goal_volley_per_match,up_goal_half_volley_per_match,up_goal_lob_per_match,up_goal_backheel_per_match,up_goal_overhead_kick_per_match,up_goal_diving_header_per_match,up_xG_per_match,up_big_chances_total_per_match,up_big_chances_led_to_goal_per_match,up_last_minute_goals_per_match,equalizer_per_match,first_goal_per_match,leading_goal_per_match,goals_important_per_match
Abdelaziz Barrada,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,26.0,0.0,0.0,1.0,3.2202484376209224,26.0,17.0,2.0,1.0,3.0,13.0,14.0,1.0,11.0,1.0,1.0,0.0,26.0,9.0,5.0,12.0,25.040526172185338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6303918044,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,5.0,6.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,1.0,6.0,8.228785574176534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477292473,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.654,0.038,0.059,0.333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333,26.0,0.0,1.0,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.011,0.011,0.0,0.289,0.0,0.0,0.011,0.036,0.289,0.189,0.022,0.011,0.033,0.144,0.156,0.011,0.122,0.011,0.011,0.0,0.289,0.1,0.056,0.133,0.278,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.033,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.089,0.089,0.0,0.0,0.033,0.056,0.067,0.0,0.033,0.0,0.0,0.0,0.089,0.011,0.011,0.067,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.011,0.0,0.011
Abdelhamid El Kaoutari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,15.481812655142559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097518619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.022,0.011,0.0,0.0,0.0,0.011,0.011,0.0,0.022,0.0,0.0,0.0,0.022,0.0,0.022,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdou Kader Mangane,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,10.410091258005382,15.0,8.0,0.0,0.0,0.0,6.0,7.0,0.0,12.0,0.0,0.0,0.0,15.0,2.0,2.0,11.0,18.2885750349448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.444312296,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,10.410091258005382,6.0,6.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,5.067054240636039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.868824162,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.533,0.067,0.125,1.0,0.167,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,15.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.167,0.0,0.011,0.0,0.116,0.167,0.089,0.0,0.0,0.0,0.067,0.078,0.0,0.133,0.0,0.0,0.0,0.167,0.022,0.022,0.122,0.203,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.011,0.011,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.067,0.0,0.011,0.0,0.116,0.067,0.067,0.0,0.0,0.0,0.044,0.022,0.0,0.056,0.0,0.0,0.0,0.067,0.0,0.011,0.056,0.056,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.011,0.0,0.011,0.0,0.0,0.011
Abdoul Razzagui Camara,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,0.0,2.0,0.0,31.242875349011975,29.0,15.0,1.0,1.0,13.0,1.0,5.0,0.0,11.0,0.0,0.0,0.0,29.0,17.0,6.0,6.0,38.19713069772022,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1291155386,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,15.239750654128171,8.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,8.0,4.0,3.0,1.0,17.08739457331068,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547913281,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.517,0.069,0.133,0.0,0.125,0.625,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.5,0.0,0.0,0.022,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.322,0.0,0.022,0.0,0.347,0.322,0.167,0.011,0.011,0.144,0.011,0.056,0.0,0.122,0.0,0.0,0.0,0.322,0.189,0.067,0.067,0.424,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.089,0.0,0.011,0.0,0.169,0.089,0.056,0.0,0.0,0.033,0.011,0.011,0.0,0.044,0.0,0.0,0.0,0.089,0.044,0.033,0.011,0.19,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.011,0.011,0.022
Abdoulaye Diallo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Doucouré,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,1.0,1.0,10.869313659514948,20.0,12.0,0.0,0.0,3.0,4.0,7.0,3.0,10.0,3.0,3.0,0.0,20.0,6.0,5.0,9.0,27.760165932247382,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.888473203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,2.0,3.0,4.0,3.0,3.0,0.0,7.0,1.0,2.0,4.0,10.361984435757988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552427708,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.6,0.1,0.167,0.0,0.0,0.714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.022,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.222,0.0,0.011,0.011,0.121,0.222,0.133,0.0,0.0,0.033,0.044,0.078,0.033,0.111,0.033,0.033,0.0,0.222,0.067,0.056,0.1,0.308,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.056,0.0,0.0,0.022,0.0,0.022,0.033,0.044,0.033,0.033,0.0,0.078,0.011,0.022,0.044,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.022,0.0,0.022
Abdoulaye Keita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Sadio Diallo,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,35.407533317470445,16.0,11.0,6.0,0.0,0.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,16.0,10.0,0.0,6.0,41.51142841775499,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4250823067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,17.569245549066874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153380546,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.688,0.125,0.182,0.0,0.0,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.022,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.022,0.0,0.0,0.393,0.178,0.122,0.067,0.0,0.0,0.1,0.011,0.0,0.033,0.0,0.0,0.0,0.178,0.111,0.0,0.067,0.461,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.044,0.033,0.0,0.0,0.0,0.011,0.011,0.0,0.022,0.0,0.0,0.0,0.044,0.022,0.0,0.022,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.022,0.0,0.022
Abdoulaye Touré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,35.052037180423056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034566569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.022,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.011,0.011,0.0,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Traoré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,30.877600371110237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02646793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.022,0.022,0.011,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.011,0.0,0.011,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Majeed Waris,11.0,2.0,0.0,1.0,9.0,1.0,5.0,3.0,8.0,3.0,3.0,0.0,55.0,1.0,5.0,5.0,20.626142195913673,55.0,33.0,0.0,2.0,3.0,24.0,13.0,6.0,39.0,6.0,6.0,0.0,55.0,10.0,21.0,24.0,24.80163694726084,9.0,0.0,2.0,0.0,0.0,0.0,0.0,10.167550200600001,5.0,5.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,19.0,0.0,2.0,1.0,10.254192225211456,19.0,11.0,0.0,0.0,0.0,8.0,6.0,2.0,15.0,2.0,2.0,0.0,19.0,2.0,6.0,11.0,11.182886426947082,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.695235101,1.0,1.0,0.0,1.0,4.0,3.0,8.0,0.6,0.2,0.333,1.0,0.158,0.579,1.0,0.0,1.0,0.818,0.091,0.455,1.0,5.0,0.0,0.0,0.122,0.022,0.0,0.011,0.1,0.011,0.056,0.033,0.089,0.033,0.033,0.0,0.611,0.011,0.056,0.056,0.229,0.611,0.367,0.0,0.022,0.033,0.267,0.144,0.067,0.433,0.067,0.067,0.0,0.611,0.111,0.233,0.267,0.276,0.1,0.0,0.022,0.0,0.0,0.0,0.0,0.113,0.056,0.056,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.033,0.011,0.022,0.011,0.011,0.0,0.211,0.0,0.022,0.011,0.114,0.211,0.122,0.0,0.0,0.0,0.089,0.067,0.022,0.167,0.022,0.022,0.0,0.211,0.022,0.067,0.122,0.124,0.022,0.0,0.011,0.0,0.0,0.0,0.0,0.041,0.011,0.011,0.0,0.011,0.044,0.033,0.089
Adam Ounas,5.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,44.0,0.0,4.0,1.0,13.997354513291565,44.0,30.0,1.0,0.0,24.0,5.0,11.0,1.0,18.0,1.0,1.0,0.0,44.0,19.0,13.0,12.0,35.63620303769969,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.6227439773,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,5.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,11.0,6.0,1.0,4.0,18.32844509991462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990867699,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.682,0.114,0.167,0.0,0.0,0.727,0.0,0.0,1.0,0.2,0.6,0.4,0.0,8.8,0.0,0.2,0.056,0.0,0.011,0.033,0.011,0.0,0.022,0.011,0.044,0.011,0.011,0.0,0.489,0.0,0.044,0.011,0.156,0.489,0.333,0.011,0.0,0.267,0.056,0.122,0.011,0.2,0.011,0.011,0.0,0.489,0.211,0.144,0.133,0.396,0.022,0.011,0.022,0.0,0.0,0.0,0.0,0.04,0.022,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.122,0.089,0.0,0.0,0.056,0.033,0.022,0.0,0.044,0.0,0.0,0.0,0.122,0.067,0.011,0.044,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.022,0.0,0.022
Adama Ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
