player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,offside,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,up_offside,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry_%,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%,touches_total_per_match,touches_in_defending_penalty_per_match,touches_in_defending_third_per_match,touches_in_middle_third_per_match,touches_in_attacking_third_per_match,touches_in_attacking_penalty_per_match,dribbling_total_per_match,dribbling_completed_per_match,dribbling_not_completed_per_match,dribbling_overrun_per_match,dribbling_through_legs_per_match,dribbling_push_and_run_per_match,carries_total_per_match,carry_into_attacking_third_per_match,carry_into_penalty_area_per_match,carry_into_edge_of_the_box_per_match,carry_distance_per_match,progressive_carry_total_per_match,progressive_carry_distance_per_match,miscontrol_total_per_match,miscontrol_in_aerial_duel_per_match,dispossessed_total_per_match,dispossessed_in_defending_penalty_area_per_match,dispossessed_in_defending_third_per_match,dispossessed_in_middle_third_per_match,dispossessed_in_attacking_third_per_match,dispossessed_in_penalty_area_per_match,balls_received_per_match,balls_received_successful_per_match,error_lead_to_goal_per_match,offside_per_match,up_touches_total_per_match,up_touches_in_defending_penalty_per_match,up_touches_in_defending_third_per_match,up_touches_in_middle_third_per_match,up_touches_in_attacking_third_per_match,up_touches_in_attacking_penalty_per_match,up_dribbling_total_per_match,up_dribbling_completed_per_match,up_dribbling_not_completed_per_match,up_dribbling_overrun_per_match,up_dribbling_through_legs_per_match,up_dribbling_push_and_run_per_match,up_carries_total_per_match,up_carry_into_attacking_third_per_match,up_carry_into_penalty_area_per_match,up_carry_into_edge_of_the_box_per_match,up_carry_distance_per_match,up_progressive_carry_total_per_match,up_progressive_carry_distance_per_match,up_miscontrol_total_per_match,up_miscontrol_in_aerial_duel_per_match,up_dispossessed_total_per_match,up_dispossessed_in_defending_penalty_area_per_match,up_dispossessed_in_defending_third_per_match,up_dispossessed_in_middle_third_per_match,up_dispossessed_in_attacking_third_per_match,up_dispossessed_in_penalty_area_per_match,up_balls_received_per_match,up_balls_received_successful_per_match,up_error_lead_to_goal_per_match,up_offside_per_match,distance_per_progressive_carry_per_match
Aaron Mattia Tabacchi,27.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,0,0,0,7.0,0.0,0.0,0.0,56.841796392557214,6.0,55.841796392557214,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,11.576700738984314,1.0,11.576700738984314,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.0,0.8518518518518519,0.0,0.875,0.0,8.120256627508173,0.0,0.0,0.0,9.306966065426202,0.0,0.3,0.0,0.044,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.632,0.067,0.62,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.078,0.0,0.0,0.022,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.129,0.011,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103
Abdelhamid El Kaoutari,749.0,38.0,322.0,394.0,33.0,10.0,4.0,2.0,2.0,1,0,0,179.0,3.0,1.0,0.0,1225.6818495296598,112.0,877.7696372203202,2.0,0,2.0,0.0,0.0,2.0,0.0,0.0,160.0,151.0,0.0,0.0,152.0,23.0,92.0,53.0,7.0,3.0,4.0,2.0,2.0,1,0,0,43.0,1.0,0.0,0.0,385.16902625952747,27.0,278.71748422302113,0.0,0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.050734312416555405,0.42990654205607476,0.5260347129506008,0.044058744993324434,0.01335113484646195,0.94375,0.5,6.847384634243909,0.01675977653631285,0.00558659217877095,0.0,7.837228903752859,0.0111731843575419,8.322,0.422,3.578,4.378,0.367,0.111,0.044,0.022,0.022,0.011,0.0,0.0,1.989,0.033,0.011,0.0,13.619,1.244,9.753,0.022,0.0,0.022,0.0,0.0,0.022,0.0,0.0,1.778,1.678,0.0,0.0,1.689,0.256,1.022,0.589,0.078,0.033,0.044,0.022,0.022,0.011,0.0,0.0,0.478,0.011,0.0,0.0,4.28,0.3,3.097,0.0,0.0,0.022,0.0,0.0,0.022,0.0,0.0,0.056,0.056,0.0,0.0,0.087
Abdoulay Konko,2960.0,80.0,660.0,1582.0,718.0,33.0,32.0,21.0,11.0,2,2,1,730.0,56.0,6.0,0.0,5515.445279561686,500.0,4754.4687119053,19.0,0,22.0,0.0,5.0,8.0,9.0,1.0,751.0,691.0,1.0,0.0,674.0,34.0,206.0,314.0,154.0,7.0,32.0,21.0,11.0,2,2,1,255.0,16.0,5.0,0.0,1976.0854792470789,168.0,1581.84713401,4.0,0,22.0,0.0,5.0,8.0,9.0,1.0,41.0,38.0,0.0,0.0,0.02702702702702703,0.22297297297297297,0.5344594594594595,0.24256756756756756,0.01114864864864865,0.9201065246338216,0.65625,7.555404492550255,0.07671232876712329,0.00821917808219178,0.0,9.508937423810599,0.030136986301369864,32.889,0.889,7.333,17.578,7.978,0.367,0.356,0.233,0.122,0.022,0.022,0.011,8.111,0.622,0.067,0.0,61.283,5.556,52.827,0.211,0.0,0.244,0.0,0.056,0.089,0.1,0.011,8.344,7.678,0.011,0.0,7.489,0.378,2.289,3.489,1.711,0.078,0.356,0.233,0.122,0.022,0.022,0.011,2.833,0.178,0.056,0.0,21.957,1.867,17.576,0.044,0.0,0.244,0.0,0.056,0.089,0.1,0.011,0.456,0.422,0.0,0.0,0.106
Accursio Bentivegna,27.0,0.0,0.0,15.0,12.0,0.0,1.0,1.0,0.0,0,0,0,9.0,1.0,0.0,0.0,93.15778704758944,9.0,93.15778704758944,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,11.0,0.0,0.0,6.0,5.0,0.0,1.0,1.0,0.0,0,0,0,6.0,1.0,0.0,0.0,69.07137572277266,6.0,69.07137572277266,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.875,1.0,10.350865227509937,0.1111111111111111,0.0,0.0,10.350865227509937,0.0,0.3,0.0,0.0,0.167,0.133,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.1,0.011,0.0,0.0,1.035,0.1,1.035,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.078,0.0,0.0,0.122,0.0,0.0,0.067,0.056,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.067,0.011,0.0,0.0,0.767,0.067,0.767,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.115
Achraf Lazaar,4251.0,144.0,904.0,2209.0,1138.0,25.0,80.0,44.0,36.0,7,2,0,1082.0,81.0,4.0,0.0,7369.7375560354785,688.0,6044.525522745649,42.0,0,48.0,2.0,7.0,14.0,27.0,1.0,1053.0,944.0,0.0,0.0,1064.0,79.0,313.0,512.0,239.0,8.0,80.0,44.0,36.0,7,2,0,431.0,38.0,2.0,0.0,3440.9439438711493,275.0,2648.5167362353473,9.0,0,48.0,2.0,7.0,14.0,27.0,1.0,56.0,55.0,0.0,0.0,0.03387438249823571,0.21265584568336862,0.5196424370736298,0.2677017172430016,0.005880969183721477,0.8964862298195632,0.55,6.811217704284176,0.07486136783733827,0.0036968576709796672,0.0,8.785647562130304,0.04436229205175601,47.233,1.6,10.044,24.544,12.644,0.278,0.889,0.489,0.4,0.078,0.022,0.0,12.022,0.9,0.044,0.0,81.886,7.644,67.161,0.467,0.0,0.533,0.022,0.078,0.156,0.3,0.011,11.7,10.489,0.0,0.0,11.822,0.878,3.478,5.689,2.656,0.089,0.889,0.489,0.4,0.078,0.022,0.0,4.789,0.422,0.022,0.0,38.233,3.056,29.428,0.1,0.0,0.533,0.022,0.078,0.156,0.3,0.011,0.622,0.611,0.0,0.0,0.098
Adam Masina,4447.0,182.0,1185.0,2235.0,1027.0,100.0,53.0,27.0,26.0,5,9,0,1021.0,57.0,9.0,0.0,5563.247854463514,618.0,4670.941980749067,30.0,1,19.0,2.0,4.0,6.0,9.0,0.0,1180.0,1023.0,1.0,2.0,952.0,101.0,344.0,402.0,206.0,23.0,53.0,27.0,26.0,5,9,0,322.0,24.0,4.0,0.0,2656.6161228579062,204.0,2161.5325870200927,7.0,1,19.0,2.0,4.0,6.0,9.0,0.0,48.0,41.0,0.0,0.0,0.040926467281313245,0.2664717787272318,0.5025860130425006,0.2309422082302676,0.022487069934787496,0.8669491525423729,0.5094339622641509,5.448822580277683,0.05582761998041136,0.00881488736532811,0.0,7.558158544901403,0.01860920666013712,49.411,2.022,13.167,24.833,11.411,1.111,0.589,0.3,0.289,0.056,0.1,0.0,11.344,0.633,0.1,0.0,61.814,6.867,51.899,0.333,0.011,0.211,0.022,0.044,0.067,0.1,0.0,13.111,11.367,0.011,0.022,10.578,1.122,3.822,4.467,2.289,0.256,0.589,0.3,0.289,0.056,0.1,0.0,3.578,0.267,0.044,0.0,29.518,2.267,24.017,0.078,0.011,0.211,0.022,0.044,0.067,0.1,0.0,0.533,0.456,0.0,0.0,0.084
Adem Ljajić,3120.0,8.0,215.0,1315.0,1590.0,166.0,55.0,29.0,26.0,5,3,0,801.0,81.0,25.0,5.0,6576.068639149205,527.0,5529.733606759604,39.0,1,21.0,0.0,1.0,3.0,17.0,2.0,1096.0,838.0,0.0,0.0,730.0,7.0,59.0,279.0,392.0,46.0,55.0,29.0,26.0,5,3,0,326.0,38.0,12.0,4.0,2862.756299195478,222.0,2308.5684224224756,5.0,1,21.0,0.0,1.0,3.0,17.0,2.0,90.0,81.0,0.0,0.0,0.002564102564102564,0.06891025641025642,0.421474358974359,0.5096153846153846,0.0532051282051282,0.7645985401459854,0.5272727272727272,8.209823519537085,0.10112359550561797,0.031210986267166042,0.006242197253433208,10.492853143756365,0.026217228464419477,34.667,0.089,2.389,14.611,17.667,1.844,0.611,0.322,0.289,0.056,0.033,0.0,8.9,0.9,0.278,0.056,73.067,5.856,61.441,0.433,0.011,0.233,0.0,0.011,0.033,0.189,0.022,12.178,9.311,0.0,0.0,8.111,0.078,0.656,3.1,4.356,0.511,0.611,0.322,0.289,0.056,0.033,0.0,3.622,0.422,0.133,0.044,31.808,2.467,25.651,0.056,0.011,0.233,0.0,0.011,0.033,0.189,0.022,1.0,0.9,0.0,0.0,0.117
Adriano Russo,698.0,123.0,473.0,204.0,21.0,9.0,0.0,0.0,0.0,0,0,0,134.0,0.0,0.0,0.0,629.7028592619184,86.0,542.0181070428495,3.0,0,3.0,0.0,0.0,3.0,0.0,0.0,148.0,141.0,1.0,0.0,202.0,75.0,155.0,40.0,7.0,3.0,0.0,0.0,0.0,0,0,0,27.0,0.0,0.0,0.0,174.0581148318183,21.0,157.8826563597249,1.0,0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.17621776504297995,0.6776504297994269,0.2922636103151863,0.03008595988538682,0.012893982808022923,0.9527027027027027,0.0,4.699275069118794,0.0,0.0,0.0,6.302536128405226,0.022388059701492536,7.756,1.367,5.256,2.267,0.233,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.489,0.0,0.0,0.0,6.997,0.956,6.022,0.033,0.0,0.033,0.0,0.0,0.033,0.0,0.0,1.644,1.567,0.011,0.0,2.244,0.833,1.722,0.444,0.078,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.934,0.233,1.754,0.011,0.0,0.033,0.0,0.0,0.033,0.0,0.0,0.033,0.033,0.0,0.0,0.07
Afriyie Acquah,2715.0,27.0,419.0,1543.0,753.0,48.0,53.0,28.0,25.0,4,1,0,726.0,104.0,13.0,0.0,7778.253211662439,508.0,6675.27521737029,40.0,0,34.0,0.0,2.0,14.0,18.0,1.0,799.0,639.0,0.0,0.0,860.0,17.0,183.0,474.0,203.0,16.0,53.0,28.0,25.0,4,1,0,367.0,45.0,7.0,0.0,4270.330889400126,247.0,3561.7664354661765,16.0,0,34.0,0.0,2.0,14.0,18.0,1.0,69.0,63.0,0.0,0.0,0.009944751381215469,0.15432780847145489,0.5683241252302026,0.2773480662983425,0.017679558011049725,0.799749687108886,0.5283018867924528,10.713847398984075,0.14325068870523416,0.01790633608815427,0.0,13.140305546004509,0.046831955922865015,30.167,0.3,4.656,17.144,8.367,0.533,0.589,0.311,0.278,0.044,0.011,0.0,8.067,1.156,0.144,0.0,86.425,5.644,74.17,0.444,0.0,0.378,0.0,0.022,0.156,0.2,0.011,8.878,7.1,0.0,0.0,9.556,0.189,2.033,5.267,2.256,0.178,0.589,0.311,0.278,0.044,0.011,0.0,4.078,0.5,0.078,0.0,47.448,2.744,39.575,0.178,0.0,0.378,0.0,0.022,0.156,0.2,0.011,0.767,0.7,0.0,0.0,0.146
Agostino Camigliano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmed Benali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albano Benjamín Bizzarri,2020.0,1734.0,2007.0,13.0,0.0,0.0,2.0,2.0,0.0,0,0,0,403.0,0.0,0.0,0.0,2951.357601689913,300.0,2665.939175704331,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,331.0,1.0,0.0,164.0,145.0,164.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,0,75.0,0.0,0.0,0.0,380.0566916082093,55.0,275.1884496069597,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.8584158415841584,0.9935643564356436,0.006435643564356435,0.0,0.0,1.0,1.0,7.323467994267774,0.0,0.0,0.0,8.886463919014437,0.0,22.444,19.267,22.3,0.144,0.0,0.0,0.022,0.022,0.0,0.0,0.0,0.0,4.478,0.0,0.0,0.0,32.793,3.333,29.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678,3.678,0.011,0.0,1.822,1.611,1.822,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,4.223,0.611,3.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.278,0.0,0.0,0.099
Alberto Brignoli,82.0,70.0,79.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,0.0,0.0,0.0,59.59863250154058,11.0,42.42872367597859,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,18.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8.0,0.0,0.0,0.0,35.82592489668069,6.0,28.372928488066517,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8536585365853658,0.9634146341463414,0.036585365853658534,0.0,0.0,1.0,0.0,3.724914531346286,0.0,0.0,0.0,3.8571566978162353,0.0,0.911,0.778,0.878,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.0,0.0,0.0,0.662,0.122,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.178,0.0,0.0,0.2,0.178,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.398,0.067,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.043
Alberto Facundo Costa,2715.0,27.0,376.0,1832.0,507.0,18.0,11.0,9.0,2.0,0,0,0,712.0,19.0,2.0,0.0,3583.812863919942,391.0,2571.9522645461216,15.0,1,25.0,0.0,2.0,18.0,5.0,0.0,803.0,726.0,0.0,0.0,632.0,15.0,98.0,433.0,101.0,1.0,11.0,9.0,2.0,0,0,0,264.0,7.0,1.0,0.0,1437.966546225539,129.0,838.1814897275685,4.0,1,25.0,0.0,2.0,18.0,5.0,0.0,55.0,54.0,0.0,0.0,0.009944751381215469,0.13848987108655617,0.6747697974217312,0.1867403314917127,0.0066298342541436465,0.9041095890410958,0.8181818181818182,5.033445033595425,0.026685393258426966,0.0028089887640449437,0.0,6.577883029529723,0.0351123595505618,30.167,0.3,4.178,20.356,5.633,0.2,0.122,0.1,0.022,0.0,0.0,0.0,7.911,0.211,0.022,0.0,39.82,4.344,28.577,0.167,0.011,0.278,0.0,0.022,0.2,0.056,0.0,8.922,8.067,0.0,0.0,7.022,0.167,1.089,4.811,1.122,0.011,0.122,0.1,0.022,0.0,0.0,0.0,2.933,0.078,0.011,0.0,15.977,1.433,9.313,0.044,0.011,0.278,0.0,0.022,0.2,0.056,0.0,0.611,0.6,0.0,0.0,0.073
Alberto Gilardino,3023.0,26.0,81.0,1426.0,1516.0,538.0,24.0,9.0,15.0,2,3,0,445.0,10.0,4.0,7.0,1648.9751956917594,195.0,883.3615272670586,103.0,14,62.0,0.0,0.0,29.0,33.0,13.0,1460.0,645.0,0.0,3.0,1121.0,20.0,38.0,604.0,479.0,130.0,24.0,9.0,15.0,2,3,0,294.0,3.0,4.0,7.0,1132.8396087931658,125.0,542.8647734083823,43.0,14,62.0,0.0,0.0,29.0,33.0,13.0,204.0,195.0,0.0,0.0,0.008600727753886867,0.026794574925570625,0.47171683757856436,0.501488587495865,0.17796890506119747,0.4417808219178082,0.375,3.7055622375095716,0.02247191011235955,0.008988764044943821,0.015730337078651686,4.530059114190044,0.1393258426966292,33.589,0.289,0.9,15.844,16.844,5.978,0.267,0.1,0.167,0.022,0.033,0.0,4.944,0.111,0.044,0.078,18.322,2.167,9.815,1.144,0.156,0.689,0.0,0.0,0.322,0.367,0.144,16.222,7.167,0.0,0.033,12.456,0.222,0.422,6.711,5.322,1.444,0.267,0.1,0.167,0.022,0.033,0.0,3.267,0.033,0.044,0.078,12.587,1.389,6.032,0.478,0.156,0.689,0.0,0.0,0.322,0.367,0.144,2.267,2.167,0.0,0.0,0.05
Alberto Grassi,1365.0,31.0,187.0,729.0,449.0,60.0,17.0,6.0,11.0,1,1,1,306.0,12.0,3.0,1.0,1636.7221691237773,163.0,1128.7511877019356,22.0,0,6.0,0.0,0.0,2.0,4.0,0.0,415.0,312.0,0.0,0.0,422.0,19.0,72.0,207.0,143.0,18.0,17.0,6.0,11.0,1,1,1,130.0,5.0,3.0,1.0,873.0456774133299,70.0,555.0210426721618,5.0,0,6.0,0.0,0.0,2.0,4.0,0.0,52.0,48.0,0.0,0.0,0.02271062271062271,0.136996336996337,0.5340659340659341,0.32893772893772893,0.04395604395604396,0.7518072289156627,0.35294117647058826,5.348765258574436,0.0392156862745098,0.00980392156862745,0.0032679738562091504,6.924853912281813,0.0196078431372549,15.167,0.344,2.078,8.1,4.989,0.667,0.189,0.067,0.122,0.011,0.011,0.011,3.4,0.133,0.033,0.011,18.186,1.811,12.542,0.244,0.0,0.067,0.0,0.0,0.022,0.044,0.0,4.611,3.467,0.0,0.0,4.689,0.211,0.8,2.3,1.589,0.2,0.189,0.067,0.122,0.011,0.011,0.011,1.444,0.056,0.033,0.011,9.701,0.778,6.167,0.056,0.0,0.067,0.0,0.0,0.022,0.044,0.0,0.578,0.533,0.0,0.0,0.077
Alberto Paloschi,2047.0,9.0,98.0,973.0,976.0,303.0,26.0,11.0,15.0,2,0,0,342.0,16.0,11.0,6.0,1650.8898375417793,166.0,1005.4190530762077,46.0,3,33.0,0.0,2.0,16.0,15.0,5.0,981.0,417.0,0.0,3.0,638.0,4.0,36.0,323.0,279.0,80.0,26.0,11.0,15.0,2,0,0,210.0,10.0,8.0,4.0,1121.70663122862,102.0,657.9613933457821,13.0,3,33.0,0.0,2.0,16.0,15.0,5.0,109.0,104.0,0.0,0.0,0.004396678065461651,0.04787493893502687,0.47532975085490964,0.4767953102100635,0.14802149487054225,0.42507645259938837,0.4230769230769231,4.827163267666021,0.04678362573099415,0.03216374269005848,0.017543859649122806,6.056741283591612,0.09649122807017543,22.744,0.1,1.089,10.811,10.844,3.367,0.289,0.122,0.167,0.022,0.0,0.0,3.8,0.178,0.122,0.067,18.343,1.844,11.171,0.511,0.033,0.367,0.0,0.022,0.178,0.167,0.056,10.9,4.633,0.0,0.033,7.089,0.044,0.4,3.589,3.1,0.889,0.289,0.122,0.167,0.022,0.0,0.0,2.333,0.111,0.089,0.044,12.463,1.133,7.311,0.144,0.033,0.367,0.0,0.022,0.178,0.167,0.056,1.211,1.156,0.0,0.0,0.067
Alberto Pelagotti,316.0,301.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,59.0,0.0,0.0,0.0,257.6565662865171,40.0,210.3884841422332,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,46.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,0.0,0.0,0.0,48.487818635509115,9.0,34.87278415500745,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.9525316455696202,1.0,0.0,0.0,0.0,0.9787234042553191,0.0,4.367060445534188,0.0,0.0,0.0,5.25971210355583,0.0,3.511,3.344,3.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656,0.0,0.0,0.0,2.863,0.444,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,0.511,0.0,0.0,0.456,0.456,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.0,0.0,0.0,0.539,0.1,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.078,0.0,0.0,0.058
Alberto Picchi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Pomini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
