player_id,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,offside,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,up_offside,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry_%,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%,touches_total_per_match,touches_in_defending_penalty_per_match,touches_in_defending_third_per_match,touches_in_middle_third_per_match,touches_in_attacking_third_per_match,touches_in_attacking_penalty_per_match,dribbling_total_per_match,dribbling_completed_per_match,dribbling_not_completed_per_match,dribbling_overrun_per_match,dribbling_through_legs_per_match,dribbling_push_and_run_per_match,carries_total_per_match,carry_into_attacking_third_per_match,carry_into_penalty_area_per_match,carry_into_edge_of_the_box_per_match,carry_distance_per_match,progressive_carry_total_per_match,progressive_carry_distance_per_match,miscontrol_total_per_match,miscontrol_in_aerial_duel_per_match,dispossessed_total_per_match,dispossessed_in_defending_penalty_area_per_match,dispossessed_in_defending_third_per_match,dispossessed_in_middle_third_per_match,dispossessed_in_attacking_third_per_match,dispossessed_in_penalty_area_per_match,balls_received_per_match,balls_received_successful_per_match,error_lead_to_goal_per_match,offside_per_match,up_touches_total_per_match,up_touches_in_defending_penalty_per_match,up_touches_in_defending_third_per_match,up_touches_in_middle_third_per_match,up_touches_in_attacking_third_per_match,up_touches_in_attacking_penalty_per_match,up_dribbling_total_per_match,up_dribbling_completed_per_match,up_dribbling_not_completed_per_match,up_dribbling_overrun_per_match,up_dribbling_through_legs_per_match,up_dribbling_push_and_run_per_match,up_carries_total_per_match,up_carry_into_attacking_third_per_match,up_carry_into_penalty_area_per_match,up_carry_into_edge_of_the_box_per_match,up_carry_distance_per_match,up_progressive_carry_total_per_match,up_progressive_carry_distance_per_match,up_miscontrol_total_per_match,up_miscontrol_in_aerial_duel_per_match,up_dispossessed_total_per_match,up_dispossessed_in_defending_penalty_area_per_match,up_dispossessed_in_defending_third_per_match,up_dispossessed_in_middle_third_per_match,up_dispossessed_in_attacking_third_per_match,up_dispossessed_in_penalty_area_per_match,up_balls_received_per_match,up_balls_received_successful_per_match,up_error_lead_to_goal_per_match,up_offside_per_match,distance_per_progressive_carry_per_match
2936.0,3059.0,287.0,1729.0,1263.0,67.0,33.0,3.0,2.0,1.0,0,0,0,706.0,2.0,0.0,1.0,4825.759923822459,487.0,3880.0401635711473,6.0,2,3.0,0.0,1.0,1.0,1.0,0.0,696.0,683.0,0.0,0.0,575.0,160.0,414.0,144.0,17.0,12.0,3.0,2.0,1.0,0,0,0,115.0,0.0,0.0,1.0,952.1002245311709,54.0,525.1906516333152,2.0,2,3.0,0.0,1.0,1.0,1.0,0.0,10.0,10.0,0.0,0.0,0.09382151029748284,0.5652173913043478,0.4128800261523374,0.02190258254331481,0.010787839163125205,0.9813218390804598,0.6666666666666666,6.835353999748526,0.0028328611898017,0.0,0.00141643059490085,7.967228261953075,0.00424929178470255,33.989,3.189,19.211,14.033,0.744,0.367,0.033,0.022,0.011,0.0,0.0,0.0,7.844,0.022,0.0,0.011,53.62,5.411,43.112,0.067,0.022,0.033,0.0,0.011,0.011,0.011,0.0,7.733,7.589,0.0,0.0,6.389,1.778,4.6,1.6,0.189,0.133,0.033,0.022,0.011,0.0,0.0,0.0,1.278,0.0,0.0,0.011,10.579,0.6,5.835,0.022,0.022,0.033,0.0,0.011,0.011,0.011,0.0,0.111,0.111,0.0,0.0,0.089
2943.0,1816.0,82.0,723.0,905.0,188.0,38.0,10.0,5.0,5.0,1,0,0,453.0,12.0,0.0,0.0,2544.9774440651254,286.0,2079.5127976151525,12.0,1,4.0,0.0,1.0,2.0,1.0,0.0,507.0,459.0,0.0,0.0,346.0,33.0,140.0,163.0,43.0,9.0,10.0,5.0,5.0,1,0,0,102.0,5.0,0.0,0.0,719.802190212756,66.0,534.3300578936382,1.0,1,4.0,0.0,1.0,2.0,1.0,0.0,32.0,30.0,0.0,0.0,0.04515418502202643,0.39812775330396477,0.4983480176211454,0.10352422907488987,0.02092511013215859,0.9053254437869822,0.5,5.618051752903146,0.026490066225165563,0.0,0.0,7.271023767885149,0.008830022075055188,20.178,0.911,8.033,10.056,2.089,0.422,0.111,0.056,0.056,0.011,0.0,0.0,5.033,0.133,0.0,0.0,28.278,3.178,23.106,0.133,0.011,0.044,0.0,0.011,0.022,0.011,0.0,5.633,5.1,0.0,0.0,3.844,0.367,1.556,1.811,0.478,0.1,0.111,0.056,0.056,0.011,0.0,0.0,1.133,0.056,0.0,0.0,7.998,0.733,5.937,0.011,0.011,0.044,0.0,0.011,0.022,0.011,0.0,0.356,0.333,0.0,0.0,0.081
2944.0,977.0,15.0,79.0,531.0,367.0,57.0,19.0,7.0,12.0,4,1,0,192.0,15.0,3.0,1.0,1171.631960915076,120.0,958.1829136416943,8.0,2,10.0,0.0,1.0,3.0,6.0,1.0,354.0,251.0,0.0,0.0,333.0,10.0,33.0,175.0,125.0,22.0,19.0,7.0,12.0,4,1,0,104.0,8.0,1.0,1.0,687.8570196391279,69.0,559.1636406905051,5.0,2,10.0,0.0,1.0,3.0,6.0,1.0,38.0,35.0,0.0,0.0,0.015353121801432957,0.08085977482088025,0.5435005117707267,0.37563971340839303,0.05834186284544524,0.7090395480225988,0.3684210526315789,6.102249796432687,0.078125,0.015625,0.005208333333333333,7.984857613680786,0.052083333333333336,10.856,0.167,0.878,5.9,4.078,0.633,0.211,0.078,0.133,0.044,0.011,0.0,2.133,0.167,0.033,0.011,13.018,1.333,10.646,0.089,0.022,0.111,0.0,0.011,0.033,0.067,0.011,3.933,2.789,0.0,0.0,3.7,0.111,0.367,1.944,1.389,0.244,0.211,0.078,0.133,0.044,0.011,0.0,1.156,0.089,0.011,0.011,7.643,0.767,6.213,0.056,0.022,0.111,0.0,0.011,0.033,0.067,0.011,0.422,0.389,0.0,0.0,0.089
2946.0,3430.0,150.0,1213.0,1784.0,433.0,23.0,31.0,17.0,14.0,5,1,0,809.0,38.0,3.0,0.0,4801.805797272932,526.0,3838.1629309241825,14.0,1,17.0,0.0,2.0,6.0,9.0,0.0,833.0,788.0,0.0,0.0,687.0,85.0,317.0,264.0,106.0,10.0,31.0,17.0,14.0,5,1,0,180.0,16.0,2.0,0.0,1433.2462141858593,121.0,1159.8649187182639,8.0,1,17.0,0.0,2.0,6.0,9.0,0.0,32.0,32.0,0.0,0.0,0.043731778425655975,0.35364431486880465,0.5201166180758018,0.1262390670553936,0.006705539358600583,0.9459783913565426,0.5483870967741935,5.935483062142067,0.04697156983930779,0.003708281829419036,0.0,7.296887701376773,0.021013597033374538,38.111,1.667,13.478,19.822,4.811,0.256,0.344,0.189,0.156,0.056,0.011,0.0,8.989,0.422,0.033,0.0,53.353,5.844,42.646,0.156,0.011,0.189,0.0,0.022,0.067,0.1,0.0,9.256,8.756,0.0,0.0,7.633,0.944,3.522,2.933,1.178,0.111,0.344,0.189,0.156,0.056,0.011,0.0,2.0,0.178,0.022,0.0,15.925,1.344,12.887,0.089,0.011,0.189,0.0,0.022,0.067,0.1,0.0,0.356,0.356,0.0,0.0,0.081
2947.0,2140.0,1819.0,2123.0,17.0,0.0,0.0,1.0,1.0,0.0,0,0,0,483.0,0.0,0.0,0.0,2282.086525862394,354.0,2070.7885987099994,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,409.0,0.0,0.0,188.0,171.0,188.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,80.0,0.0,0.0,0.0,306.0360368854879,63.0,248.9493360790123,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.85,0.9920560747663552,0.00794392523364486,0.0,0.0,0.9951338199513382,1.0,4.724816823731665,0.0,0.0,0.0,5.849685307090394,0.0,23.778,20.211,23.589,0.189,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,5.367,0.0,0.0,0.0,25.357,3.933,23.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.567,4.544,0.0,0.0,2.089,1.9,2.089,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.889,0.0,0.0,0.0,3.4,0.7,2.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.367,0.0,0.0,0.065
2948.0,906.0,0.0,14.0,377.0,515.0,73.0,25.0,14.0,11.0,1,0,1,237.0,19.0,11.0,5.0,1620.7870665927294,159.0,1286.7266081047178,18.0,0,17.0,0.0,0.0,6.0,11.0,2.0,329.0,236.0,0.0,0.0,291.0,0.0,3.0,106.0,182.0,24.0,25.0,14.0,11.0,1,0,1,130.0,12.0,2.0,3.0,891.7379397940491,86.0,669.9627151074689,6.0,0,17.0,0.0,0.0,6.0,11.0,2.0,41.0,39.0,0.0,0.0,0.0,0.01545253863134658,0.41611479028697573,0.5684326710816777,0.08057395143487858,0.7173252279635258,0.56,6.838763994062149,0.08016877637130802,0.046413502109704644,0.02109704641350211,8.092620176759231,0.07172995780590717,10.067,0.0,0.156,4.189,5.722,0.811,0.278,0.156,0.122,0.011,0.0,0.011,2.633,0.211,0.122,0.056,18.009,1.767,14.297,0.2,0.0,0.189,0.0,0.0,0.067,0.122,0.022,3.656,2.622,0.0,0.0,3.233,0.0,0.033,1.178,2.022,0.267,0.278,0.156,0.122,0.011,0.0,0.011,1.444,0.133,0.022,0.033,9.908,0.956,7.444,0.067,0.0,0.189,0.0,0.0,0.067,0.122,0.022,0.456,0.433,0.0,0.0,0.09
2950.0,6772.0,72.0,855.0,4704.0,1213.0,117.0,62.0,43.0,19.0,5,3,0,1804.0,80.0,16.0,0.0,10474.686321232868,1025.0,7985.492439807912,37.0,0,71.0,1.0,7.0,45.0,19.0,2.0,2041.0,1790.0,1.0,0.0,1675.0,35.0,262.0,1053.0,360.0,40.0,62.0,43.0,19.0,5,3,0,695.0,40.0,9.0,0.0,4504.217898962192,388.0,3238.921415294214,12.0,0,71.0,1.0,7.0,45.0,19.0,2.0,168.0,160.0,0.0,0.0,0.010632014176018901,0.12625516834022446,0.6946249261665682,0.17911990549320733,0.017277023036030716,0.8770210681038707,0.6935483870967742,5.806367140372987,0.04434589800443459,0.008869179600886918,0.0,7.790724331519914,0.0393569844789357,75.244,0.8,9.5,52.267,13.478,1.3,0.689,0.478,0.211,0.056,0.033,0.0,20.044,0.889,0.178,0.0,116.385,11.389,88.728,0.411,0.0,0.789,0.011,0.078,0.5,0.211,0.022,22.678,19.889,0.011,0.0,18.611,0.389,2.911,11.7,4.0,0.444,0.689,0.478,0.211,0.056,0.033,0.0,7.722,0.444,0.1,0.0,50.047,4.311,35.988,0.133,0.0,0.789,0.011,0.078,0.5,0.211,0.022,1.867,1.778,0.0,0.0,0.087
2953.0,3024.0,209.0,1481.0,1355.0,188.0,84.0,10.0,7.0,3.0,1,1,0,724.0,7.0,0.0,0.0,5186.096637216642,432.0,3983.180687775841,15.0,0,11.0,1.0,3.0,6.0,2.0,0.0,711.0,659.0,2.0,0.0,688.0,139.0,414.0,227.0,47.0,25.0,10.0,7.0,3.0,1,1,0,167.0,4.0,0.0,0.0,1707.3625670120932,102.0,1295.405337624924,2.0,0,11.0,1.0,3.0,6.0,2.0,0.0,21.0,21.0,0.0,0.0,0.06911375661375661,0.48974867724867727,0.4480820105820106,0.062169312169312166,0.027777777777777776,0.9268635724331927,0.7,7.1631169022329315,0.009668508287292817,0.0,0.0,9.22032566614778,0.015193370165745856,33.6,2.322,16.456,15.056,2.089,0.933,0.111,0.078,0.033,0.011,0.011,0.0,8.044,0.078,0.0,0.0,57.623,4.8,44.258,0.167,0.0,0.122,0.011,0.033,0.067,0.022,0.0,7.9,7.322,0.022,0.0,7.644,1.544,4.6,2.522,0.522,0.278,0.111,0.078,0.033,0.011,0.011,0.0,1.856,0.044,0.0,0.0,18.971,1.133,14.393,0.022,0.0,0.122,0.011,0.033,0.067,0.022,0.0,0.233,0.233,0.0,0.0,0.102
2955.0,4293.0,54.0,497.0,1952.0,1844.0,309.0,45.0,26.0,19.0,0,2,1,845.0,39.0,18.0,4.0,4730.157819819198,506.0,3601.059166738999,68.0,6,40.0,0.0,2.0,16.0,22.0,0.0,1600.0,1087.0,0.0,0.0,1228.0,36.0,188.0,522.0,518.0,68.0,45.0,26.0,19.0,0,2,1,379.0,17.0,13.0,3.0,2383.5857906230003,224.0,1687.3952911019026,22.0,6,40.0,0.0,2.0,16.0,22.0,0.0,146.0,135.0,0.0,0.0,0.012578616352201259,0.11576985790822268,0.4546936873980899,0.4295364546936874,0.07197763801537387,0.679375,0.5777777777777777,5.597819905111478,0.046153846153846156,0.021301775147928994,0.004733727810650888,7.116717720828062,0.047337278106508875,47.7,0.6,5.522,21.689,20.489,3.433,0.5,0.289,0.211,0.0,0.022,0.011,9.389,0.433,0.2,0.044,52.557,5.622,40.012,0.756,0.067,0.444,0.0,0.022,0.178,0.244,0.0,17.778,12.078,0.0,0.0,13.644,0.4,2.089,5.8,5.756,0.756,0.5,0.289,0.211,0.0,0.022,0.011,4.211,0.189,0.144,0.033,26.484,2.489,18.749,0.244,0.067,0.444,0.0,0.022,0.178,0.244,0.0,1.622,1.5,0.0,0.0,0.079
2956.0,625.0,6.0,42.0,220.0,363.0,89.0,13.0,10.0,3.0,1,0,0,135.0,5.0,4.0,1.0,687.7706890943748,68.0,406.62192984276385,19.0,1,6.0,0.0,2.0,1.0,3.0,0.0,247.0,158.0,0.0,0.0,189.0,3.0,21.0,60.0,108.0,24.0,13.0,10.0,3.0,1,0,0,66.0,3.0,0.0,0.0,392.4263888188431,30.0,189.1466010823109,6.0,1,6.0,0.0,2.0,1.0,3.0,0.0,34.0,34.0,0.0,0.0,0.0096,0.0672,0.352,0.5808,0.1424,0.6396761133603239,0.7692307692307693,5.094597696995369,0.037037037037037035,0.02962962962962963,0.007407407407407408,5.979734262393586,0.044444444444444446,6.944,0.067,0.467,2.444,4.033,0.989,0.144,0.111,0.033,0.011,0.0,0.0,1.5,0.056,0.044,0.011,7.642,0.756,4.518,0.211,0.011,0.067,0.0,0.022,0.011,0.033,0.0,2.744,1.756,0.0,0.0,2.1,0.033,0.233,0.667,1.2,0.267,0.144,0.111,0.033,0.011,0.0,0.0,0.733,0.033,0.0,0.0,4.36,0.333,2.102,0.067,0.011,0.067,0.0,0.022,0.011,0.033,0.0,0.378,0.378,0.0,0.0,0.066
2959.0,5593.0,80.0,813.0,3355.0,1425.0,117.0,63.0,31.0,32.0,5,6,0,1346.0,81.0,15.0,3.0,8771.27607592794,856.0,7144.766558274794,90.0,1,70.0,0.0,11.0,33.0,26.0,2.0,1602.0,1335.0,0.0,0.0,1557.0,51.0,272.0,890.0,395.0,40.0,63.0,31.0,32.0,5,6,0,605.0,44.0,9.0,2.0,4544.394893985064,397.0,3592.471562795054,13.0,1,70.0,0.0,11.0,33.0,26.0,2.0,170.0,166.0,0.0,0.0,0.014303593777936706,0.14536027176828178,0.5998569640622207,0.2547827641694976,0.020919005900232435,0.8333333333333334,0.49206349206349204,6.516549833527445,0.060178306092124816,0.011144130757800892,0.002228826151560178,8.34668990452663,0.05200594353640416,62.144,0.889,9.033,37.278,15.833,1.3,0.7,0.344,0.356,0.056,0.067,0.0,14.956,0.9,0.167,0.033,97.459,9.511,79.386,1.0,0.011,0.778,0.0,0.122,0.367,0.289,0.022,17.8,14.833,0.0,0.0,17.3,0.567,3.022,9.889,4.389,0.444,0.7,0.344,0.356,0.056,0.067,0.0,6.722,0.489,0.1,0.022,50.493,4.411,39.916,0.144,0.011,0.778,0.0,0.122,0.367,0.289,0.022,1.889,1.844,0.0,0.0,0.093
2961.0,2058.0,26.0,456.0,1374.0,228.0,39.0,24.0,15.0,9.0,0,3,0,519.0,16.0,2.0,2.0,2954.0268223187054,318.0,2311.7411570911736,10.0,0,14.0,0.0,3.0,7.0,4.0,1.0,537.0,481.0,1.0,0.0,469.0,12.0,123.0,270.0,76.0,15.0,24.0,15.0,9.0,0,3,0,160.0,8.0,1.0,1.0,999.1721920967374,93.0,657.6968119179749,1.0,0,14.0,0.0,3.0,7.0,4.0,1.0,34.0,34.0,0.0,0.0,0.012633624878522837,0.22157434402332363,0.6676384839650146,0.11078717201166181,0.018950437317784258,0.8957169459962756,0.625,5.691766516991725,0.030828516377649325,0.0038535645472061657,0.0038535645472061657,7.2696262801609235,0.02697495183044316,22.867,0.289,5.067,15.267,2.533,0.433,0.267,0.167,0.1,0.0,0.033,0.0,5.767,0.178,0.022,0.022,32.823,3.533,25.686,0.111,0.0,0.156,0.0,0.033,0.078,0.044,0.011,5.967,5.344,0.011,0.0,5.211,0.133,1.367,3.0,0.844,0.167,0.267,0.167,0.1,0.0,0.033,0.0,1.778,0.089,0.011,0.011,11.102,1.033,7.308,0.011,0.0,0.156,0.0,0.033,0.078,0.044,0.011,0.378,0.378,0.0,0.0,0.081
2963.0,1842.0,1529.0,1811.0,31.0,0.0,0.0,1.0,1.0,0.0,0,0,0,355.0,0.0,0.0,0.0,2557.051729736552,268.0,2381.5563466598433,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,256.0,2.0,0.0,110.0,102.0,110.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,44.0,0.0,0.0,0.0,230.5284165174203,32.0,178.99144075965367,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.8300760043431054,0.9831704668838219,0.016829533116178068,0.0,0.0,1.0,1.0,7.202962618976202,0.0,0.0,0.0,8.886404278581505,0.0,20.467,16.989,20.122,0.344,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,3.944,0.0,0.0,0.0,28.412,2.978,26.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.844,2.844,0.022,0.0,1.222,1.133,1.222,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.489,0.0,0.0,0.0,2.561,0.356,1.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.278,0.0,0.0,0.099
2966.0,2715.0,36.0,293.0,1075.0,1347.0,105.0,84.0,50.0,34.0,4,5,0,722.0,71.0,23.0,2.0,6520.938036524174,467.0,5290.979198049485,60.0,0,59.0,1.0,9.0,13.0,37.0,5.0,798.0,618.0,0.0,0.0,942.0,22.0,136.0,377.0,429.0,37.0,84.0,50.0,34.0,4,5,0,403.0,36.0,17.0,1.0,3972.221282987983,269.0,3219.0173184803625,11.0,0,59.0,1.0,9.0,13.0,37.0,5.0,109.0,104.0,0.0,0.0,0.013259668508287293,0.10791896869244935,0.39594843462246776,0.49613259668508286,0.03867403314917127,0.7744360902255639,0.5952380952380952,9.031770133689992,0.09833795013850416,0.03185595567867036,0.002770083102493075,11.329719910170203,0.0817174515235457,30.167,0.4,3.256,11.944,14.967,1.167,0.933,0.556,0.378,0.044,0.056,0.0,8.022,0.789,0.256,0.022,72.455,5.189,58.789,0.667,0.0,0.656,0.011,0.1,0.144,0.411,0.056,8.867,6.867,0.0,0.0,10.467,0.244,1.511,4.189,4.767,0.411,0.933,0.556,0.378,0.044,0.056,0.0,4.478,0.4,0.189,0.011,44.136,2.989,35.767,0.122,0.0,0.656,0.011,0.1,0.144,0.411,0.056,1.211,1.156,0.0,0.0,0.126
2967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2968.0,439.0,3.0,27.0,205.0,207.0,40.0,5.0,2.0,3.0,0,1,0,73.0,3.0,2.0,1.0,418.54990131207757,35.0,260.1834434768764,17.0,0,5.0,0.0,1.0,0.0,4.0,1.0,207.0,93.0,0.0,0.0,196.0,1.0,14.0,90.0,92.0,19.0,5.0,2.0,3.0,0,1,0,54.0,2.0,2.0,1.0,301.9591928013283,23.0,165.595492018886,10.0,0,5.0,0.0,1.0,0.0,4.0,1.0,36.0,35.0,0.0,0.0,0.00683371298405467,0.06150341685649203,0.46697038724373574,0.4715261958997722,0.09111617312072894,0.4492753623188406,0.4,5.733560291946268,0.0410958904109589,0.0273972602739726,0.0136986301369863,7.433812670767897,0.0684931506849315,4.878,0.033,0.3,2.278,2.3,0.444,0.056,0.022,0.033,0.0,0.011,0.0,0.811,0.033,0.022,0.011,4.651,0.389,2.891,0.189,0.0,0.056,0.0,0.011,0.0,0.044,0.011,2.3,1.033,0.0,0.0,2.178,0.011,0.156,1.0,1.022,0.211,0.056,0.022,0.033,0.0,0.011,0.0,0.6,0.022,0.022,0.011,3.355,0.256,1.84,0.111,0.0,0.056,0.0,0.011,0.0,0.044,0.011,0.4,0.389,0.0,0.0,0.083
2969.0,1308.0,32.0,261.0,637.0,410.0,33.0,11.0,3.0,8.0,0,2,1,313.0,14.0,4.0,0.0,1624.7064678507563,169.0,1204.4806583307777,21.0,0,12.0,0.0,1.0,6.0,5.0,0.0,436.0,343.0,0.0,1.0,354.0,13.0,65.0,177.0,112.0,12.0,11.0,3.0,8.0,0,2,1,124.0,5.0,4.0,0.0,736.3849302328314,62.0,476.30526437648547,5.0,0,12.0,0.0,1.0,6.0,5.0,0.0,47.0,46.0,0.0,0.0,0.024464831804281346,0.19954128440366972,0.48700305810397554,0.31345565749235477,0.02522935779816514,0.786697247706422,0.2727272727272727,5.1907554883410745,0.04472843450479233,0.012779552715654952,0.0,7.127104487164365,0.038338658146964855,14.533,0.356,2.9,7.078,4.556,0.367,0.122,0.033,0.089,0.0,0.022,0.011,3.478,0.156,0.044,0.0,18.052,1.878,13.383,0.233,0.0,0.133,0.0,0.011,0.067,0.056,0.0,4.844,3.811,0.0,0.011,3.933,0.144,0.722,1.967,1.244,0.133,0.122,0.033,0.089,0.0,0.022,0.011,1.378,0.056,0.044,0.0,8.182,0.689,5.292,0.056,0.0,0.133,0.0,0.011,0.067,0.056,0.0,0.522,0.511,0.0,0.0,0.079
2970.0,170.0,1.0,13.0,69.0,88.0,17.0,2.0,1.0,1.0,0,1,0,38.0,0.0,2.0,1.0,220.81410639115228,21.0,144.31250160478726,9.0,0,3.0,0.0,0.0,1.0,2.0,1.0,62.0,42.0,0.0,0.0,60.0,1.0,7.0,20.0,33.0,7.0,2.0,1.0,1.0,0,1,0,23.0,0.0,2.0,1.0,151.95278549606934,11.0,81.0790122128327,3.0,0,3.0,0.0,0.0,1.0,2.0,1.0,10.0,10.0,0.0,0.0,0.0058823529411764705,0.07647058823529412,0.40588235294117647,0.5176470588235295,0.1,0.6774193548387096,0.5,5.8108975366092706,0.0,0.05263157894736842,0.02631578947368421,6.872023885942251,0.07894736842105263,1.889,0.011,0.144,0.767,0.978,0.189,0.022,0.011,0.011,0.0,0.011,0.0,0.422,0.0,0.022,0.011,2.453,0.233,1.603,0.1,0.0,0.033,0.0,0.0,0.011,0.022,0.011,0.689,0.467,0.0,0.0,0.667,0.011,0.078,0.222,0.367,0.078,0.022,0.011,0.011,0.0,0.011,0.0,0.256,0.0,0.022,0.011,1.688,0.122,0.901,0.033,0.0,0.033,0.0,0.0,0.011,0.022,0.011,0.111,0.111,0.0,0.0,0.076
2971.0,2020.0,95.0,892.0,1074.0,54.0,15.0,8.0,5.0,3.0,0,0,0,527.0,4.0,1.0,0.0,2627.3354202709415,340.0,2043.7719534172352,9.0,0,4.0,0.0,0.0,4.0,0.0,0.0,562.0,537.0,0.0,0.0,297.0,40.0,160.0,123.0,14.0,4.0,8.0,5.0,3.0,0,0,0,79.0,1.0,1.0,0.0,495.9893922012255,49.0,344.7621850564779,1.0,0,4.0,0.0,0.0,4.0,0.0,0.0,12.0,11.0,0.0,0.0,0.04702970297029703,0.4415841584158416,0.5316831683168317,0.026732673267326732,0.007425742574257425,0.9555160142348754,0.625,4.985456205447707,0.007590132827324478,0.0018975332068311196,0.0,6.011093980638927,0.007590132827324478,22.444,1.056,9.911,11.933,0.6,0.167,0.089,0.056,0.033,0.0,0.0,0.0,5.856,0.044,0.011,0.0,29.193,3.778,22.709,0.1,0.0,0.044,0.0,0.0,0.044,0.0,0.0,6.244,5.967,0.0,0.0,3.3,0.444,1.778,1.367,0.156,0.044,0.089,0.056,0.033,0.0,0.0,0.0,0.878,0.011,0.011,0.0,5.511,0.544,3.831,0.011,0.0,0.044,0.0,0.0,0.044,0.0,0.0,0.133,0.122,0.0,0.0,0.067
2975.0,2718.0,107.0,641.0,1514.0,563.0,47.0,15.0,6.0,9.0,1,2,0,651.0,27.0,3.0,0.0,3016.51157696446,355.0,2258.7321308631317,11.0,0,24.0,0.0,3.0,10.0,11.0,0.0,683.0,616.0,0.0,0.0,608.0,56.0,214.0,257.0,137.0,9.0,15.0,6.0,9.0,1,2,0,190.0,7.0,1.0,0.0,1067.4280630531662,97.0,690.0408403605609,3.0,0,24.0,0.0,3.0,10.0,11.0,0.0,38.0,36.0,0.0,0.0,0.039367181751287714,0.23583517292126563,0.5570272259013981,0.2071376011773363,0.017292126563649743,0.9019033674963397,0.4,4.633658336350937,0.041474654377880185,0.004608294930875576,0.0,6.3626257207412165,0.03686635944700461,30.2,1.189,7.122,16.822,6.256,0.522,0.167,0.067,0.1,0.011,0.022,0.0,7.233,0.3,0.033,0.0,33.517,3.944,25.097,0.122,0.0,0.267,0.0,0.033,0.111,0.122,0.0,7.589,6.844,0.0,0.0,6.756,0.622,2.378,2.856,1.522,0.1,0.167,0.067,0.1,0.011,0.022,0.0,2.111,0.078,0.011,0.0,11.86,1.078,7.667,0.033,0.0,0.267,0.0,0.033,0.111,0.122,0.0,0.422,0.4,0.0,0.0,0.071
