player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,offside,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,up_offside,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry_%,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%,touches_total_per_match,touches_in_defending_penalty_per_match,touches_in_defending_third_per_match,touches_in_middle_third_per_match,touches_in_attacking_third_per_match,touches_in_attacking_penalty_per_match,dribbling_total_per_match,dribbling_completed_per_match,dribbling_not_completed_per_match,dribbling_overrun_per_match,dribbling_through_legs_per_match,dribbling_push_and_run_per_match,carries_total_per_match,carry_into_attacking_third_per_match,carry_into_penalty_area_per_match,carry_into_edge_of_the_box_per_match,carry_distance_per_match,progressive_carry_total_per_match,progressive_carry_distance_per_match,miscontrol_total_per_match,miscontrol_in_aerial_duel_per_match,dispossessed_total_per_match,dispossessed_in_defending_penalty_area_per_match,dispossessed_in_defending_third_per_match,dispossessed_in_middle_third_per_match,dispossessed_in_attacking_third_per_match,dispossessed_in_penalty_area_per_match,balls_received_per_match,balls_received_successful_per_match,error_lead_to_goal_per_match,offside_per_match,up_touches_total_per_match,up_touches_in_defending_penalty_per_match,up_touches_in_defending_third_per_match,up_touches_in_middle_third_per_match,up_touches_in_attacking_third_per_match,up_touches_in_attacking_penalty_per_match,up_dribbling_total_per_match,up_dribbling_completed_per_match,up_dribbling_not_completed_per_match,up_dribbling_overrun_per_match,up_dribbling_through_legs_per_match,up_dribbling_push_and_run_per_match,up_carries_total_per_match,up_carry_into_attacking_third_per_match,up_carry_into_penalty_area_per_match,up_carry_into_edge_of_the_box_per_match,up_carry_distance_per_match,up_progressive_carry_total_per_match,up_progressive_carry_distance_per_match,up_miscontrol_total_per_match,up_miscontrol_in_aerial_duel_per_match,up_dispossessed_total_per_match,up_dispossessed_in_defending_penalty_area_per_match,up_dispossessed_in_defending_third_per_match,up_dispossessed_in_middle_third_per_match,up_dispossessed_in_attacking_third_per_match,up_dispossessed_in_penalty_area_per_match,up_balls_received_per_match,up_balls_received_successful_per_match,up_error_lead_to_goal_per_match,up_offside_per_match,distance_per_progressive_carry_per_match
Aaron Cresswell,5186.0,179.0,1163.0,2554.0,1469.0,117.0,34.0,16.0,18.0,3,4,0,1292.0,53.0,14.0,0.0,6135.478315404956,717.0,4530.000402169616,28.0,1,26.0,0.0,3.0,5.0,18.0,1.0,1382.0,1264.0,5.0,0.0,918.0,78.0,302.0,367.0,249.0,27.0,34.0,16.0,18.0,3,4,0,308.0,16.0,7.0,0.0,1992.0192447373452,180.0,1373.0592148879684,7.0,1,26.0,0.0,3.0,5.0,18.0,1.0,70.0,67.0,0.0,0.0,0.034516004627844196,0.2242576166602391,0.4924797531816429,0.28326263015811803,0.022560740455071344,0.914616497829233,0.47058823529411764,4.748822225545632,0.04102167182662539,0.010835913312693499,0.0,6.317992192705183,0.020123839009287926,57.622,1.989,12.922,28.378,16.322,1.3,0.378,0.178,0.2,0.033,0.044,0.0,14.356,0.589,0.156,0.0,68.172,7.967,50.333,0.311,0.011,0.289,0.0,0.033,0.056,0.2,0.011,15.356,14.044,0.056,0.0,10.2,0.867,3.356,4.078,2.767,0.3,0.378,0.178,0.2,0.033,0.044,0.0,3.422,0.178,0.078,0.0,22.134,2.0,15.256,0.078,0.011,0.289,0.0,0.033,0.056,0.2,0.011,0.778,0.744,0.0,0.0,0.07
Aaron Lennon,1957.0,31.0,188.0,814.0,955.0,139.0,39.0,19.0,20.0,1,3,0,517.0,28.0,29.0,5.0,3604.8386403200475,295.0,2878.699860047571,23.0,0,18.0,1.0,3.0,4.0,11.0,4.0,632.0,479.0,0.0,0.0,507.0,15.0,78.0,208.0,221.0,29.0,39.0,19.0,20.0,1,3,0,199.0,11.0,11.0,1.0,1643.338680924268,130.0,1335.2015374469556,3.0,0,18.0,1.0,3.0,4.0,11.0,4.0,60.0,57.0,0.0,0.0,0.015840572304547777,0.09606540623403168,0.4159427695452223,0.48799182422074605,0.07102708226877874,0.7579113924050633,0.48717948717948717,6.972608588626784,0.05415860735009671,0.05609284332688588,0.009671179883945842,9.758304610330748,0.03481624758220503,21.744,0.344,2.089,9.044,10.611,1.544,0.433,0.211,0.222,0.011,0.033,0.0,5.744,0.311,0.322,0.056,40.054,3.278,31.986,0.256,0.0,0.2,0.011,0.033,0.044,0.122,0.044,7.022,5.322,0.0,0.0,5.633,0.167,0.867,2.311,2.456,0.322,0.433,0.211,0.222,0.011,0.033,0.0,2.211,0.122,0.122,0.011,18.259,1.444,14.836,0.033,0.0,0.2,0.011,0.033,0.044,0.122,0.044,0.667,0.633,0.0,0.0,0.108
Aaron Ramsey,7211.0,109.0,833.0,4174.0,2204.0,356.0,68.0,41.0,27.0,6,2,2,1958.0,90.0,19.0,9.0,11036.780837449971,1084.0,7906.668599543824,61.0,1,63.0,1.0,8.0,28.0,27.0,5.0,2261.0,2024.0,1.0,0.0,1524.0,42.0,261.0,812.0,451.0,80.0,68.0,41.0,27.0,6,2,2,613.0,34.0,8.0,6.0,3803.423536662445,343.0,2482.5641991702087,16.0,1,63.0,1.0,8.0,28.0,27.0,5.0,184.0,178.0,0.0,0.0,0.015115795312716682,0.11551795867424768,0.5788378865621966,0.30564415476355566,0.04936901955345999,0.8951791242812914,0.6029411764705882,5.63676242974973,0.045965270684371805,0.009703779366700716,0.004596527068437181,7.293974722826405,0.032175689479060264,80.122,1.211,9.256,46.378,24.489,3.956,0.756,0.456,0.3,0.067,0.022,0.022,21.756,1.0,0.211,0.1,122.631,12.044,87.852,0.678,0.011,0.7,0.011,0.089,0.311,0.3,0.056,25.122,22.489,0.011,0.0,16.933,0.467,2.9,9.022,5.011,0.889,0.756,0.456,0.3,0.067,0.022,0.022,6.811,0.378,0.089,0.067,42.26,3.811,27.584,0.178,0.011,0.7,0.011,0.089,0.311,0.3,0.056,2.044,1.978,0.0,0.0,0.081
Abdul Rahman Baba,1848.0,67.0,485.0,908.0,455.0,26.0,13.0,9.0,4.0,1,1,0,455.0,16.0,5.0,0.0,2199.9404974522563,240.0,1612.4944071941388,9.0,0,12.0,0.0,2.0,6.0,4.0,1.0,482.0,446.0,1.0,0.0,358.0,37.0,158.0,129.0,71.0,10.0,13.0,9.0,4.0,1,1,0,114.0,2.0,4.0,0.0,746.591305896812,58.0,497.3715561744032,0.0,0,12.0,0.0,2.0,6.0,4.0,1.0,29.0,28.0,0.0,0.0,0.036255411255411256,0.2624458874458874,0.49134199134199136,0.24621212121212122,0.01406926406926407,0.9253112033195021,0.6923076923076923,4.835034060334629,0.035164835164835165,0.01098901098901099,0.0,6.718726696642245,0.026373626373626374,20.533,0.744,5.389,10.089,5.056,0.289,0.144,0.1,0.044,0.011,0.011,0.0,5.056,0.178,0.056,0.0,24.444,2.667,17.917,0.1,0.0,0.133,0.0,0.022,0.067,0.044,0.011,5.356,4.956,0.011,0.0,3.978,0.411,1.756,1.433,0.789,0.111,0.144,0.1,0.044,0.011,0.011,0.0,1.267,0.022,0.044,0.0,8.295,0.644,5.526,0.0,0.0,0.133,0.0,0.022,0.067,0.044,0.011,0.322,0.311,0.0,0.0,0.075
Adam David Lallana,3956.0,49.0,422.0,1730.0,1804.0,344.0,73.0,43.0,30.0,9,2,1,948.0,60.0,24.0,7.0,6431.501717474377,517.0,4693.138520920556,62.0,1,49.0,0.0,3.0,21.0,25.0,1.0,1342.0,973.0,0.0,2.0,1179.0,35.0,202.0,508.0,469.0,69.0,73.0,43.0,30.0,9,2,1,466.0,30.0,12.0,4.0,3574.513527552548,264.0,2387.9386328747087,17.0,1,49.0,0.0,3.0,21.0,25.0,1.0,148.0,147.0,0.0,0.0,0.012386248736097068,0.10667340748230536,0.4373104145601618,0.45601617795753285,0.08695652173913043,0.7250372578241431,0.589041095890411,6.784284512103773,0.06329113924050633,0.02531645569620253,0.007383966244725738,9.077637371219645,0.05168776371308017,43.956,0.544,4.689,19.222,20.044,3.822,0.811,0.478,0.333,0.1,0.022,0.011,10.533,0.667,0.267,0.078,71.461,5.744,52.146,0.689,0.011,0.544,0.0,0.033,0.233,0.278,0.011,14.911,10.811,0.0,0.022,13.1,0.389,2.244,5.644,5.211,0.767,0.811,0.478,0.333,0.1,0.022,0.011,5.178,0.333,0.133,0.044,39.717,2.933,26.533,0.189,0.011,0.544,0.0,0.033,0.233,0.278,0.011,1.644,1.633,0.0,0.0,0.101
Adam Federici,282.0,252.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,64.0,0.0,0.0,0.0,313.8045583074182,47.0,257.0758879179322,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,1.0,0.0,20.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10.0,0.0,0.0,0.0,61.37036856916697,5.0,29.779492270764784,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.8936170212765957,1.0,0.0,0.0,0.0,1.0,0.0,4.903196223553409,0.0,0.0,0.0,5.469699742934728,0.0,3.133,2.8,3.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711,0.0,0.0,0.0,3.487,0.522,2.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.667,0.011,0.0,0.222,0.189,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.682,0.056,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.061
Adam Johnson,1980.0,23.0,299.0,1121.0,560.0,34.0,24.0,14.0,10.0,1,0,0,543.0,22.0,2.0,0.0,3498.482423477779,299.0,2406.20665353215,18.0,0,24.0,1.0,8.0,10.0,6.0,1.0,603.0,517.0,0.0,0.0,495.0,8.0,94.0,261.0,140.0,4.0,24.0,14.0,10.0,1,0,0,228.0,8.0,1.0,0.0,1638.5167024226505,122.0,969.3712167216997,6.0,0,24.0,1.0,8.0,10.0,6.0,1.0,43.0,42.0,0.0,0.0,0.011616161616161616,0.151010101010101,0.5661616161616162,0.2828282828282828,0.01717171717171717,0.857379767827529,0.5833333333333334,6.44287739130346,0.040515653775322284,0.003683241252302026,0.0,8.047513891411873,0.04419889502762431,22.0,0.256,3.322,12.456,6.222,0.378,0.267,0.156,0.111,0.011,0.0,0.0,6.033,0.244,0.022,0.0,38.872,3.322,26.736,0.2,0.0,0.267,0.011,0.089,0.111,0.067,0.011,6.7,5.744,0.0,0.0,5.5,0.089,1.044,2.9,1.556,0.044,0.267,0.156,0.111,0.011,0.0,0.0,2.533,0.089,0.011,0.0,18.206,1.356,10.771,0.067,0.0,0.267,0.011,0.089,0.111,0.067,0.011,0.478,0.467,0.0,0.0,0.089
Adam Matthews,55.0,1.0,7.0,40.0,8.0,0.0,2.0,0.0,2.0,1,0,0,15.0,1.0,0.0,0.0,111.44913144047733,11.0,100.9037080090956,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,10.0,1.0,3.0,6.0,1.0,0.0,2.0,0.0,2.0,1,0,0,3.0,1.0,0.0,0.0,53.612325053422865,2.0,47.34734301035203,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.12727272727272726,0.7272727272727273,0.14545454545454545,0.0,1.0,0.0,7.429942096031822,0.06666666666666667,0.0,0.0,9.173064364463237,0.0,0.611,0.011,0.078,0.444,0.089,0.0,0.022,0.0,0.022,0.011,0.0,0.0,0.167,0.011,0.0,0.0,1.238,0.122,1.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.156,0.0,0.0,0.111,0.011,0.033,0.067,0.011,0.0,0.022,0.0,0.022,0.011,0.0,0.0,0.033,0.011,0.0,0.0,0.596,0.022,0.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102
Adam Smith,3779.0,70.0,778.0,1844.0,1157.0,82.0,56.0,35.0,21.0,5,3,0,946.0,83.0,12.0,1.0,7472.916756451248,593.0,6233.562072328454,38.0,1,37.0,0.0,7.0,14.0,16.0,0.0,1012.0,896.0,0.0,0.0,892.0,44.0,260.0,412.0,220.0,22.0,56.0,35.0,21.0,5,3,0,343.0,32.0,6.0,1.0,3340.3115033586605,227.0,2629.8352594821763,6.0,1,37.0,0.0,7.0,14.0,16.0,0.0,69.0,69.0,0.0,0.0,0.018523418893887273,0.20587456999206138,0.48795977771897325,0.30616565228896536,0.021698862132839374,0.8853754940711462,0.625,7.899489171724364,0.08773784355179703,0.012684989429175475,0.0010570824524312897,10.511909059575807,0.039112050739957716,41.989,0.778,8.644,20.489,12.856,0.911,0.622,0.389,0.233,0.056,0.033,0.0,10.511,0.922,0.133,0.011,83.032,6.589,69.262,0.422,0.011,0.411,0.0,0.078,0.156,0.178,0.0,11.244,9.956,0.0,0.0,9.911,0.489,2.889,4.578,2.444,0.244,0.622,0.389,0.233,0.056,0.033,0.0,3.811,0.356,0.067,0.011,37.115,2.522,29.22,0.067,0.011,0.411,0.0,0.078,0.156,0.178,0.0,0.767,0.767,0.0,0.0,0.117
Adama Traoré Diarra,379.0,0.0,12.0,202.0,165.0,7.0,34.0,21.0,13.0,1,0,0,115.0,14.0,4.0,0.0,1448.479219406624,91.0,1350.6105585796513,11.0,0,13.0,0.0,0.0,9.0,4.0,0.0,111.0,86.0,0.0,0.0,186.0,0.0,3.0,112.0,71.0,2.0,34.0,21.0,13.0,1,0,0,87.0,12.0,4.0,0.0,1170.961545003392,72.0,1107.6393755379781,2.0,0,13.0,0.0,0.0,9.0,4.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0316622691292876,0.5329815303430079,0.43535620052770446,0.018469656992084433,0.7747747747747747,0.6176470588235294,12.595471473101078,0.12173913043478261,0.034782608695652174,0.0,14.841874270106059,0.11304347826086956,4.211,0.0,0.133,2.244,1.833,0.078,0.378,0.233,0.144,0.011,0.0,0.0,1.278,0.156,0.044,0.0,16.094,1.011,15.007,0.122,0.0,0.144,0.0,0.0,0.1,0.044,0.0,1.233,0.956,0.0,0.0,2.067,0.0,0.033,1.244,0.789,0.022,0.378,0.233,0.144,0.011,0.0,0.0,0.967,0.133,0.044,0.0,13.011,0.8,12.307,0.022,0.0,0.144,0.0,0.0,0.1,0.044,0.0,0.156,0.156,0.0,0.0,0.165
Adlène Guédioura,994.0,13.0,135.0,531.0,328.0,20.0,25.0,15.0,10.0,3,1,0,240.0,9.0,3.0,0.0,1251.4893495216825,112.0,786.05304060578,13.0,0,10.0,0.0,1.0,4.0,5.0,1.0,275.0,231.0,0.0,0.0,319.0,8.0,51.0,182.0,86.0,6.0,25.0,15.0,10.0,3,1,0,122.0,5.0,3.0,0.0,741.285056009004,65.0,479.7186510741943,3.0,0,10.0,0.0,1.0,4.0,5.0,1.0,35.0,35.0,0.0,0.0,0.013078470824949699,0.1358148893360161,0.53420523138833,0.3299798792756539,0.02012072434607646,0.84,0.6,5.214538956340344,0.0375,0.0125,0.0,7.018330719694464,0.041666666666666664,11.044,0.144,1.5,5.9,3.644,0.222,0.278,0.167,0.111,0.033,0.011,0.0,2.667,0.1,0.033,0.0,13.905,1.244,8.734,0.144,0.0,0.111,0.0,0.011,0.044,0.056,0.011,3.056,2.567,0.0,0.0,3.544,0.089,0.567,2.022,0.956,0.067,0.278,0.167,0.111,0.033,0.011,0.0,1.356,0.056,0.033,0.0,8.237,0.722,5.33,0.033,0.0,0.111,0.0,0.011,0.044,0.056,0.011,0.389,0.389,0.0,0.0,0.078
Adnan Januzaj,227.0,0.0,13.0,102.0,112.0,16.0,10.0,5.0,5.0,0,0,0,63.0,6.0,1.0,1.0,578.1093108940435,43.0,452.310316688471,3.0,0,6.0,0.0,0.0,4.0,2.0,0.0,76.0,54.0,0.0,0.0,88.0,0.0,6.0,43.0,39.0,4.0,10.0,5.0,5.0,0,0,0,41.0,6.0,0.0,0.0,447.36921585338223,26.0,347.15340864753443,1.0,0,6.0,0.0,0.0,4.0,2.0,0.0,11.0,11.0,0.0,0.0,0.0,0.05726872246696035,0.44933920704845814,0.4933920704845815,0.07048458149779736,0.7105263157894737,0.5,9.17633826815942,0.09523809523809523,0.015873015873015872,0.015873015873015872,10.518844574150489,0.09523809523809523,2.522,0.0,0.144,1.133,1.244,0.178,0.111,0.056,0.056,0.0,0.0,0.0,0.7,0.067,0.011,0.011,6.423,0.478,5.026,0.033,0.0,0.067,0.0,0.0,0.044,0.022,0.0,0.844,0.6,0.0,0.0,0.978,0.0,0.067,0.478,0.433,0.044,0.111,0.056,0.056,0.0,0.0,0.0,0.456,0.067,0.0,0.0,4.971,0.289,3.857,0.011,0.0,0.067,0.0,0.0,0.044,0.022,0.0,0.122,0.122,0.0,0.0,0.117
Adrian Mariappa,360.0,28.0,160.0,164.0,36.0,2.0,3.0,2.0,1.0,0,0,0,85.0,5.0,0.0,0.0,405.0133305084127,52.0,291.66388359306717,1.0,0,2.0,0.0,1.0,1.0,0.0,0.0,86.0,83.0,0.0,0.0,81.0,17.0,55.0,20.0,6.0,1.0,3.0,2.0,1.0,0,0,0,21.0,1.0,0.0,0.0,116.97751068094165,12.0,59.77353082049128,0.0,0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.07777777777777778,0.4444444444444444,0.45555555555555555,0.1,0.005555555555555556,0.9651162790697675,0.6666666666666666,4.764862711863679,0.058823529411764705,0.0,0.0,5.608920838328215,0.023529411764705882,4.0,0.311,1.778,1.822,0.4,0.022,0.033,0.022,0.011,0.0,0.0,0.0,0.944,0.056,0.0,0.0,4.5,0.578,3.241,0.011,0.0,0.022,0.0,0.011,0.011,0.0,0.0,0.956,0.922,0.0,0.0,0.9,0.189,0.611,0.222,0.067,0.011,0.033,0.022,0.011,0.0,0.0,0.0,0.233,0.011,0.0,0.0,1.3,0.133,0.664,0.0,0.0,0.022,0.0,0.011,0.011,0.0,0.0,0.056,0.056,0.0,0.0,0.062
Adrián San Miguel del Castillo,1934.0,1678.0,1923.0,11.0,0.0,0.0,1.0,1.0,0.0,0,0,0,405.0,0.0,0.0,0.0,2268.53928035044,291.0,1946.7471040204573,1.0,0,1.0,1.0,1.0,0.0,0.0,0.0,349.0,347.0,2.0,0.0,192.0,172.0,191.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,80.0,0.0,0.0,0.0,490.86649254763006,57.0,319.7447939908403,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.8676318510858325,0.9943123061013444,0.005687693898655636,0.0,0.0,0.994269340974212,1.0,5.60133155642084,0.0,0.0,0.0,6.689852591135592,0.0024691358024691358,21.489,18.644,21.367,0.122,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,25.206,3.233,21.631,0.011,0.0,0.011,0.011,0.011,0.0,0.0,0.0,3.878,3.856,0.022,0.0,2.133,1.911,2.122,0.011,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.889,0.0,0.0,0.0,5.454,0.633,3.553,0.0,0.0,0.011,0.011,0.011,0.0,0.0,0.0,0.356,0.356,0.0,0.0,0.074
Aiden McGeady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Hutton,3416.0,122.0,684.0,1570.0,1162.0,68.0,24.0,11.0,13.0,2,0,0,805.0,82.0,5.0,0.0,6557.232401842648,493.0,5704.853931345155,24.0,3,17.0,0.0,2.0,4.0,11.0,0.0,910.0,817.0,1.0,0.0,707.0,61.0,231.0,271.0,205.0,14.0,24.0,11.0,13.0,2,0,0,240.0,29.0,3.0,0.0,2524.156717527705,152.0,2121.969784240569,7.0,3,17.0,0.0,2.0,4.0,11.0,0.0,61.0,60.0,0.0,0.0,0.03571428571428571,0.20023419203747073,0.4596018735362998,0.3401639344262295,0.01990632318501171,0.8978021978021978,0.4583333333333333,8.14563031284801,0.10186335403726708,0.006211180124223602,0.0,11.571711828286318,0.02111801242236025,37.956,1.356,7.6,17.444,12.911,0.756,0.267,0.122,0.144,0.022,0.0,0.0,8.944,0.911,0.056,0.0,72.858,5.478,63.387,0.267,0.033,0.189,0.0,0.022,0.044,0.122,0.0,10.111,9.078,0.011,0.0,7.856,0.678,2.567,3.011,2.278,0.156,0.267,0.122,0.144,0.022,0.0,0.0,2.667,0.322,0.033,0.0,28.046,1.689,23.577,0.078,0.033,0.189,0.0,0.022,0.044,0.122,0.0,0.678,0.667,0.0,0.0,0.129
Alberto Moreno Pérez,4767.0,81.0,1039.0,2148.0,1580.0,135.0,44.0,23.0,21.0,1,3,0,1159.0,61.0,11.0,3.0,6298.651556215105,694.0,5100.204034038194,20.0,1,32.0,0.0,8.0,8.0,16.0,0.0,1302.0,1175.0,1.0,0.0,732.0,49.0,261.0,262.0,209.0,13.0,44.0,23.0,21.0,1,3,0,236.0,15.0,4.0,2.0,1851.5181979643796,146.0,1419.419472855212,3.0,1,32.0,0.0,8.0,8.0,16.0,0.0,56.0,55.0,0.0,0.0,0.016991818753933293,0.21795678623872455,0.4505978602894902,0.33144535347178516,0.028319697923222153,0.9024577572964669,0.5227272727272727,5.434556994145907,0.05263157894736842,0.009490940465918895,0.0025884383088869713,7.3489971672020085,0.027610008628127698,52.967,0.9,11.544,23.867,17.556,1.5,0.489,0.256,0.233,0.011,0.033,0.0,12.878,0.678,0.122,0.033,69.985,7.711,56.669,0.222,0.011,0.356,0.0,0.089,0.089,0.178,0.0,14.467,13.056,0.011,0.0,8.133,0.544,2.9,2.911,2.322,0.144,0.489,0.256,0.233,0.011,0.033,0.0,2.622,0.167,0.044,0.022,20.572,1.622,15.771,0.033,0.011,0.356,0.0,0.089,0.089,0.178,0.0,0.622,0.611,0.0,0.0,0.082
Alberto Paloschi,953.0,9.0,78.0,444.0,431.0,130.0,9.0,1.0,8.0,1,0,1,169.0,3.0,3.0,2.0,681.6313015063859,76.0,362.1530321372972,17.0,0,16.0,0.0,0.0,9.0,7.0,3.0,445.0,216.0,0.0,0.0,322.0,5.0,31.0,161.0,130.0,28.0,9.0,1.0,8.0,1,0,1,98.0,1.0,1.0,1.0,477.0537497969828,48.0,262.8817355425062,7.0,0,16.0,0.0,0.0,9.0,7.0,3.0,66.0,65.0,0.0,0.0,0.00944386149003148,0.08184679958027283,0.46589716684155297,0.4522560335781742,0.13641133263378805,0.4853932584269663,0.1111111111111111,4.033321310688674,0.01775147928994083,0.01775147928994083,0.011834319526627219,4.765171475490753,0.09467455621301775,10.589,0.1,0.867,4.933,4.789,1.444,0.1,0.011,0.089,0.011,0.0,0.011,1.878,0.033,0.033,0.022,7.574,0.844,4.024,0.189,0.0,0.178,0.0,0.0,0.1,0.078,0.033,4.944,2.4,0.0,0.0,3.578,0.056,0.344,1.789,1.444,0.311,0.1,0.011,0.089,0.011,0.0,0.011,1.089,0.011,0.011,0.011,5.301,0.533,2.921,0.078,0.0,0.178,0.0,0.0,0.1,0.078,0.033,0.733,0.722,0.0,0.0,0.053
Aleix García Serrano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Kolarov,4850.0,155.0,926.0,2236.0,1688.0,97.0,43.0,21.0,22.0,4,8,0,1224.0,46.0,15.0,1.0,5500.555591499255,702.0,4293.3900242848085,12.0,0,27.0,0.0,3.0,13.0,11.0,2.0,1313.0,1220.0,1.0,0.0,721.0,69.0,255.0,262.0,204.0,15.0,43.0,21.0,22.0,4,8,0,240.0,14.0,5.0,1.0,1553.060874017651,148.0,1117.296082684506,1.0,0,27.0,0.0,3.0,13.0,11.0,2.0,64.0,62.0,0.0,0.0,0.031958762886597936,0.1909278350515464,0.46103092783505156,0.34804123711340207,0.02,0.9291698400609292,0.4883720930232558,4.493917966911156,0.03758169934640523,0.012254901960784314,0.0008169934640522876,6.115940205533915,0.022058823529411766,53.889,1.722,10.289,24.844,18.756,1.078,0.478,0.233,0.244,0.044,0.089,0.0,13.6,0.511,0.167,0.011,61.117,7.8,47.704,0.133,0.0,0.3,0.0,0.033,0.144,0.122,0.022,14.589,13.556,0.011,0.0,8.011,0.767,2.833,2.911,2.267,0.167,0.478,0.233,0.244,0.044,0.089,0.0,2.667,0.156,0.056,0.011,17.256,1.644,12.414,0.011,0.0,0.3,0.0,0.033,0.144,0.122,0.022,0.711,0.689,0.0,0.0,0.068
