player,passes_total,passes_completed,passes_from_attacking_third,passes_from_middle_third,passes_from_defending_third,passes_from_the_box,passes_into_attacking_third,passes_into_box,passes_into_box_completed,passes_into_goal_area,passes_into_edge_of_the_box,passes_into_edge_of_the_box_completed,passes_cuts_last_line_of_defence,passes_cuts_last_line_of_defence_completed,passes_within_attacking_third,passes_within_attacking_third_completed,passes_total_distance,passes_short_total,passes_short_completed,passes_medium_total,passes_medium_completed,passes_long_total,passes_long_completed,passes_shot_assist,passes_goal_assist,passes_switch,passes_cross,passes_cut_back,passes_vertical_into_edge_of_the_box,passes_vertical_into_the_box,passes_horizontal_into_edge_of_the_box,passes_horizontal_into_the_box,passes_cut_back_into_edge_of_the_box,passes_high_vertical_into_edge_of_the_box,passes_high_vertical_into_the_box,passes_low_vertical_into_edge_of_the_box,passes_low_vertical_into_the_box,passes_high_horizontal_into_edge_of_the_box,passes_high_horizontal_into_the_box,passes_low_horizontal_into_edge_of_the_box,passes_low_horizontal_into_the_box,passes_progressive,passes_progressive_completed,passes_horizontal,passes_horizontal_completed,passes_backward,passes_backward_completed,passes_long_vertical,passes_long_vertical_from_defending_third,passes_long_vertical_from_mid_third,passes_long_vertical_from_mid_third_into_the_box,key_passes,up_passes_total,up_passes_completed,up_passes_from_attacking_third,up_passes_from_middle_third,up_passes_from_defending_third,up_passes_from_the_box,up_passes_into_attacking_third,up_passes_into_box,up_passes_into_box_completed,up_passes_into_goal_area,up_passes_into_edge_of_the_box,up_passes_into_edge_of_the_box_completed,up_passes_cuts_last_line_of_defence,up_passes_cuts_last_line_of_defence_completed,up_passes_within_attacking_third,up_passes_within_attacking_third_completed,up_passes_total_distance,up_passes_short_total,up_passes_short_completed,up_passes_medium_total,up_passes_medium_completed,up_passes_long_total,up_passes_long_completed,up_passes_shot_assist,up_passes_goal_assist,up_passes_switch,up_passes_cross,up_passes_cut_back,up_passes_vertical_into_edge_of_the_box,up_passes_vertical_into_the_box,up_passes_horizontal_into_edge_of_the_box,up_passes_horizontal_into_the_box,up_passes_cut_back_into_edge_of_the_box,up_passes_high_vertical_into_edge_of_the_box,up_passes_high_vertical_into_the_box,up_passes_low_vertical_into_edge_of_the_box,up_passes_low_vertical_into_the_box,up_passes_high_horizontal_into_edge_of_the_box,up_passes_high_horizontal_into_the_box,up_passes_low_horizontal_into_edge_of_the_box,up_passes_low_horizontal_into_the_box,up_passes_progressive,up_passes_progressive_completed,up_passes_horizontal,up_passes_horizontal_completed,up_passes_backward,up_passes_backward_completed,up_passes_long_vertical,up_passes_long_vertical_from_defending_third,up_passes_long_vertical_from_mid_third,up_passes_long_vertical_from_mid_third_into_the_box,up_key_passes,pass_accuracy_%,up_pass_accuracy_%,pass_accuracy_progressive_%,up_pass_accuracy_progressive_%,pass_accuracy_backward_%,pass_horizontal_backward_%,up_pass_accuracy_backward_%,pass_accuracy_into_box_%,pass_accuracy_into_edge_of_the_box_%,up_pass_accuracy_into_box_%,pass_accuaracy_short_%,pass_accuaracy_medium_%,pass_accuaracy_long_%,pass_accuracy_within_attacking_third_%,up_pass_accuracy_within_attacking_third_%,pass_progressive_lead_to_shot_%,pass_progressive_lead_to_goal_%,pass_mean_distance_%,pass_accuracy_cuts_last_line_of_defence_%,passes_total_per_match,passes_completed_per_match,passes_from_attacking_third_per_match,passes_from_middle_third_per_match,passes_from_defending_third_per_match,passes_from_the_box_per_match,passes_into_attacking_third_per_match,passes_into_box_per_match,passes_into_box_completed_per_match,passes_into_goal_area_per_match,passes_into_edge_of_the_box_per_match,passes_into_edge_of_the_box_completed_per_match,passes_cuts_last_line_of_defence_per_match,passes_cuts_last_line_of_defence_completed_per_match,passes_within_attacking_third_per_match,passes_within_attacking_third_completed_per_match,passes_total_distance_per_match,passes_short_total_per_match,passes_short_completed_per_match,passes_medium_total_per_match,passes_medium_completed_per_match,passes_long_total_per_match,passes_long_completed_per_match,passes_shot_assist_per_match,passes_goal_assist_per_match,passes_switch_per_match,passes_cross_per_match,passes_cut_back_per_match,passes_vertical_into_edge_of_the_box_per_match,passes_vertical_into_the_box_per_match,passes_horizontal_into_edge_of_the_box_per_match,passes_horizontal_into_the_box_per_match,passes_cut_back_into_edge_of_the_box_per_match,passes_high_vertical_into_edge_of_the_box_per_match,passes_high_vertical_into_the_box_per_match,passes_low_vertical_into_edge_of_the_box_per_match,passes_low_vertical_into_the_box_per_match,passes_high_horizontal_into_edge_of_the_box_per_match,passes_high_horizontal_into_the_box_per_match,passes_low_horizontal_into_edge_of_the_box_per_match,passes_low_horizontal_into_the_box_per_match,passes_progressive_per_match,passes_progressive_completed_per_match,passes_horizontal_per_match,passes_horizontal_completed_per_match,passes_backward_per_match,passes_backward_completed_per_match,passes_long_vertical_per_match,passes_long_vertical_from_defending_third_per_match,passes_long_vertical_from_mid_third_per_match,passes_long_vertical_from_mid_third_into_the_box_per_match,key_passes_per_match,up_passes_total_per_match,up_passes_completed_per_match,up_passes_from_attacking_third_per_match,up_passes_from_middle_third_per_match,up_passes_from_defending_third_per_match,up_passes_from_the_box_per_match,up_passes_into_attacking_third_per_match,up_passes_into_box_per_match,up_passes_into_box_completed_per_match,up_passes_into_goal_area_per_match,up_passes_into_edge_of_the_box_per_match,up_passes_into_edge_of_the_box_completed_per_match,up_passes_cuts_last_line_of_defence_per_match,up_passes_cuts_last_line_of_defence_completed_per_match,up_passes_within_attacking_third_per_match,up_passes_within_attacking_third_completed_per_match,up_passes_total_distance_per_match,up_passes_short_total_per_match,up_passes_short_completed_per_match,up_passes_medium_total_per_match,up_passes_medium_completed_per_match,up_passes_long_total_per_match,up_passes_long_completed_per_match,up_passes_shot_assist_per_match,up_passes_goal_assist_per_match,up_passes_switch_per_match,up_passes_cross_per_match,up_passes_cut_back_per_match,up_passes_vertical_into_edge_of_the_box_per_match,up_passes_vertical_into_the_box_per_match,up_passes_horizontal_into_edge_of_the_box_per_match,up_passes_horizontal_into_the_box_per_match,up_passes_cut_back_into_edge_of_the_box_per_match,up_passes_high_vertical_into_edge_of_the_box_per_match,up_passes_high_vertical_into_the_box_per_match,up_passes_low_vertical_into_edge_of_the_box_per_match,up_passes_low_vertical_into_the_box_per_match,up_passes_high_horizontal_into_edge_of_the_box_per_match,up_passes_high_horizontal_into_the_box_per_match,up_passes_low_horizontal_into_edge_of_the_box_per_match,up_passes_low_horizontal_into_the_box_per_match,up_passes_progressive_per_match,up_passes_progressive_completed_per_match,up_passes_horizontal_per_match,up_passes_horizontal_completed_per_match,up_passes_backward_per_match,up_passes_backward_completed_per_match,up_passes_long_vertical_per_match,up_passes_long_vertical_from_defending_third_per_match,up_passes_long_vertical_from_mid_third_per_match,up_passes_long_vertical_from_mid_third_into_the_box_per_match,up_key_passes_per_match
Aaron Cresswell,1874.0,1402.0,516.0,932.0,426.0,33.0,768.0,124.0,43.0,30.0,102.0,29.0,2.0,0.0,450.0,309.0,41508.637,675.0,605.0,705.0,567.0,422.0,215.0,41,4,45,93,6,20.0,35.0,49.0,47.0,3,17.0,30.0,1.0,2.0,30.0,34.0,9.0,6.0,1106.0,709.0,178.0,178.0,532.0,515.0,267.0,267.0,153.0,16.0,45,204.0,135.0,43.0,99.0,62.0,6.0,75.0,9.0,5.0,3.0,10.0,5.0,0.0,0.0,38.0,20.0,4241.173,77.0,56.0,67.0,55.0,44.0,22.0,7,0,2,8,1,1.0,2.0,7.0,4.0,0,1.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,133.0,75.0,17.0,17.0,48.0,43.0,30.0,30.0,16.0,1.0,7,0.7481323372465315,0.6617647058823529,0.6410488245931284,0.5639097744360902,0.9680451127819549,1.0,0.8958333333333334,0.3467741935483871,0.28431372549019607,0.5555555555555556,0.8962962962962963,0.8042553191489362,0.509478672985782,0.6866666666666666,0.5263157894736842,0.037070524412296565,0.003616636528028933,22.14975278481857,0.0,20.822,15.578,5.733,10.356,4.733,0.367,8.533,1.378,0.478,0.333,1.133,0.322,0.022,0.0,5.0,3.433,461.207,7.5,6.722,7.833,6.3,4.689,2.389,0.456,0.044,0.5,1.033,0.067,0.222,0.389,0.544,0.522,0.033,0.189,0.333,0.011,0.022,0.333,0.378,0.1,0.067,12.289,7.878,1.978,1.978,5.911,5.722,2.967,2.967,1.7,0.178,0.5,2.267,1.5,0.478,1.1,0.689,0.067,0.833,0.1,0.056,0.033,0.111,0.056,0.0,0.0,0.422,0.222,47.124,0.856,0.622,0.744,0.611,0.489,0.244,0.078,0.0,0.022,0.089,0.011,0.011,0.022,0.078,0.044,0.0,0.011,0.022,0.0,0.0,0.033,0.033,0.022,0.0,1.478,0.833,0.189,0.189,0.533,0.478,0.333,0.333,0.178,0.011,0.078
Aaron Lennon,516.0,402.0,250.0,223.0,43.0,37.0,270.0,29.0,12.0,2.0,35.0,13.0,2.0,1.0,221.0,150.0,8373.226,251.0,215.0,187.0,155.0,42.0,23.0,21,0,4,26,8,4.0,15.0,17.0,6.0,8,3.0,3.0,1.0,11.0,4.0,1.0,8.0,2.0,212.0,146.0,56.0,56.0,217.0,200.0,25.0,25.0,10.0,4.0,21,90.0,74.0,36.0,46.0,8.0,7.0,38.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,32.0,22.0,1312.3795,43.0,38.0,36.0,31.0,2.0,2.0,5,0,0,2,3,0.0,1.0,1.0,1.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,23.0,9.0,9.0,46.0,42.0,1.0,1.0,0.0,0.0,5,0.7790697674418605,0.8222222222222222,0.6886792452830188,0.7419354838709677,0.9216589861751152,1.0,0.9130434782608695,0.41379310344827586,0.37142857142857144,0.5,0.8565737051792829,0.8288770053475936,0.5476190476190477,0.6787330316742082,0.6875,0.09905660377358491,0.0,16.22718136809593,2.0,5.733,4.467,2.778,2.478,0.478,0.411,3.0,0.322,0.133,0.022,0.389,0.144,0.022,0.011,2.456,1.667,93.036,2.789,2.389,2.078,1.722,0.467,0.256,0.233,0.0,0.044,0.289,0.089,0.044,0.167,0.189,0.067,0.089,0.033,0.033,0.011,0.122,0.044,0.011,0.089,0.022,2.356,1.622,0.622,0.622,2.411,2.222,0.278,0.278,0.111,0.044,0.233,1.0,0.822,0.4,0.511,0.089,0.078,0.422,0.022,0.011,0.0,0.044,0.011,0.0,0.0,0.356,0.244,14.582,0.478,0.422,0.4,0.344,0.022,0.022,0.056,0.0,0.0,0.022,0.033,0.0,0.011,0.011,0.011,0.033,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.344,0.256,0.1,0.1,0.511,0.467,0.011,0.011,0.0,0.0,0.056
Aaron Ramsey,2197.0,1855.0,630.0,1338.0,229.0,63.0,849.0,126.0,58.0,14.0,77.0,24.0,12.0,0.0,564.0,422.0,40317.125,916.0,812.0,916.0,815.0,275.0,190.0,34,4,40,35,3,25.0,74.0,18.0,11.0,3,19.0,37.0,5.0,29.0,7.0,7.0,4.0,2.0,1121.0,866.0,403.0,403.0,615.0,586.0,101.0,101.0,73.0,19.0,38,319.0,235.0,88.0,183.0,48.0,12.0,116.0,10.0,6.0,1.0,5.0,2.0,0.0,0.0,77.0,50.0,5030.8965,158.0,128.0,105.0,81.0,26.0,16.0,4,1,6,1,0,4.0,7.0,0.0,2.0,0,3.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,143.0,88.0,44.0,44.0,115.0,103.0,7.0,7.0,7.0,1.0,5,0.8443331816112881,0.7366771159874608,0.7725245316681534,0.6153846153846154,0.9528455284552846,1.0,0.8956521739130435,0.4603174603174603,0.3116883116883117,0.6,0.8864628820960698,0.8897379912663755,0.6909090909090909,0.74822695035461,0.6493506493506493,0.030330062444246207,0.003568242640499554,18.350989986345017,0.0,24.411,20.611,7.0,14.867,2.544,0.7,9.433,1.4,0.644,0.156,0.856,0.267,0.133,0.0,6.267,4.689,447.968,10.178,9.022,10.178,9.056,3.056,2.111,0.378,0.044,0.444,0.389,0.033,0.278,0.822,0.2,0.122,0.033,0.211,0.411,0.056,0.322,0.078,0.078,0.044,0.022,12.456,9.622,4.478,4.478,6.833,6.511,1.122,1.122,0.811,0.211,0.422,3.544,2.611,0.978,2.033,0.533,0.133,1.289,0.111,0.067,0.011,0.056,0.022,0.0,0.0,0.856,0.556,55.899,1.756,1.422,1.167,0.9,0.289,0.178,0.044,0.011,0.067,0.011,0.0,0.044,0.078,0.0,0.022,0.0,0.033,0.033,0.011,0.033,0.0,0.011,0.0,0.011,1.589,0.978,0.489,0.489,1.278,1.144,0.078,0.078,0.078,0.011,0.056
Abdul Rahman Baba,651.0,524.0,163.0,336.0,152.0,5.0,193.0,30.0,7.0,4.0,17.0,4.0,1.0,0.0,145.0,97.0,10984.918,324.0,283.0,231.0,191.0,62.0,31.0,2,1,10,23,0,0.0,3.0,9.0,15.0,0,0.0,0.0,0.0,3.0,2.0,3.0,4.0,5.0,343.0,248.0,86.0,86.0,194.0,190.0,29.0,29.0,14.0,0.0,3,73.0,43.0,13.0,31.0,29.0,2.0,16.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,11.0,3.0,1407.3501,25.0,18.0,27.0,17.0,11.0,5.0,0,0,3,3,0,0.0,1.0,2.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,44.0,18.0,5.0,5.0,20.0,20.0,7.0,7.0,3.0,0.0,0,0.804915514592934,0.589041095890411,0.7230320699708455,0.4090909090909091,0.979381443298969,1.0,1.0,0.23333333333333334,0.23529411764705882,0.0,0.8734567901234568,0.8268398268398268,0.5,0.6689655172413793,0.2727272727272727,0.0058309037900874635,0.0029154518950437317,16.87391393049155,0.0,7.233,5.822,1.811,3.733,1.689,0.056,2.144,0.333,0.078,0.044,0.189,0.044,0.011,0.0,1.611,1.078,122.055,3.6,3.144,2.567,2.122,0.689,0.344,0.022,0.011,0.111,0.256,0.0,0.0,0.033,0.1,0.167,0.0,0.0,0.0,0.0,0.033,0.022,0.033,0.044,0.056,3.811,2.756,0.956,0.956,2.156,2.111,0.322,0.322,0.156,0.0,0.033,0.811,0.478,0.144,0.344,0.322,0.022,0.178,0.033,0.0,0.022,0.044,0.0,0.0,0.0,0.122,0.033,15.637,0.278,0.2,0.3,0.189,0.122,0.056,0.0,0.0,0.033,0.033,0.0,0.0,0.011,0.022,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.022,0.0,0.489,0.2,0.056,0.056,0.222,0.222,0.078,0.078,0.033,0.0,0.0
Adam David Lallana,1046.0,817.0,463.0,489.0,94.0,60.0,507.0,96.0,44.0,19.0,73.0,23.0,12.0,6.0,420.0,284.0,15909.64,544.0,470.0,302.0,242.0,97.0,50.0,44,7,18,43,4,11.0,38.0,25.0,22.0,4,1.0,4.0,7.0,31.0,15.0,11.0,9.0,6.0,443.0,303.0,161.0,161.0,388.0,353.0,30.0,30.0,22.0,4.0,51,211.0,168.0,95.0,86.0,30.0,10.0,95.0,15.0,9.0,1.0,8.0,3.0,1.0,0.0,87.0,62.0,2746.7375,126.0,112.0,50.0,40.0,12.0,7.0,9,3,4,8,1,2.0,8.0,2.0,4.0,1,0.0,0.0,1.0,7.0,2.0,3.0,0.0,1.0,83.0,53.0,31.0,31.0,90.0,84.0,3.0,3.0,2.0,0.0,12,0.7810707456978967,0.7962085308056872,0.6839729119638827,0.6385542168674698,0.9097938144329897,1.0,0.9333333333333333,0.4583333333333333,0.3150684931506849,0.6,0.8639705882352942,0.8013245033112583,0.5154639175257731,0.6761904761904762,0.7126436781609196,0.09932279909706546,0.01580135440180587,15.209980543439293,2.0,11.622,9.078,5.144,5.433,1.044,0.667,5.633,1.067,0.489,0.211,0.811,0.256,0.133,0.067,4.667,3.156,176.774,6.044,5.222,3.356,2.689,1.078,0.556,0.489,0.078,0.2,0.478,0.044,0.122,0.422,0.278,0.244,0.044,0.011,0.044,0.078,0.344,0.167,0.122,0.1,0.067,4.922,3.367,1.789,1.789,4.311,3.922,0.333,0.333,0.244,0.044,0.567,2.344,1.867,1.056,0.956,0.333,0.111,1.056,0.167,0.1,0.011,0.089,0.033,0.011,0.0,0.967,0.689,30.519,1.4,1.244,0.556,0.444,0.133,0.078,0.1,0.033,0.044,0.089,0.011,0.022,0.089,0.022,0.044,0.011,0.0,0.0,0.011,0.078,0.022,0.033,0.0,0.011,0.922,0.589,0.344,0.344,1.0,0.933,0.033,0.033,0.022,0.0,0.133
Adam Federici,130.0,97.0,0.0,0.0,130.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5223.098,10.0,10.0,47.0,47.0,73.0,40.0,0,0,3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,93.0,4.0,4.0,0.0,0.0,65.0,65.0,0.0,0.0,0,8.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.82626,0.0,0.0,0.0,0.0,8.0,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0,0.7461538461538462,0.25,0.7380952380952381,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.547945205479452,0.0,0.0,0.0,0.0,40.17767803485577,0.0,1.444,1.078,0.0,0.0,1.444,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.034,0.111,0.111,0.522,0.522,0.811,0.444,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.033,0.044,0.044,0.0,0.0,0.722,0.722,0.0,0.0,0.0,0.089,0.022,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.498,0.0,0.0,0.0,0.0,0.089,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.022,0.0,0.0,0.0,0.0,0.089,0.089,0.0,0.0,0.0
Adam Johnson,600.0,443.0,177.0,346.0,77.0,6.0,285.0,87.0,39.0,7.0,41.0,15.0,11.0,6.0,157.0,99.0,14988.949,195.0,169.0,191.0,159.0,195.0,110.0,25,5,44,22,3,14.0,49.0,5.0,6.0,3,12.0,34.0,2.0,14.0,4.0,4.0,0.0,1.0,313.0,188.0,99.0,99.0,168.0,156.0,108.0,108.0,72.0,24.0,30,114.0,83.0,32.0,68.0,14.0,1.0,41.0,8.0,4.0,0.0,5.0,1.0,2.0,0.0,27.0,17.0,2351.9087,48.0,37.0,35.0,30.0,24.0,15.0,3,0,4,1,2,3.0,6.0,0.0,0.0,2,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,51.0,27.0,18.0,18.0,44.0,38.0,13.0,13.0,7.0,2.0,3,0.7383333333333333,0.7280701754385965,0.6006389776357828,0.5294117647058824,0.9285714285714286,1.0,0.8636363636363636,0.4482758620689655,0.36585365853658536,0.5,0.8666666666666667,0.8324607329842932,0.5641025641025641,0.6305732484076433,0.6296296296296297,0.07987220447284345,0.01597444089456869,24.98158203125,1.8333333333333333,6.667,4.922,1.967,3.844,0.856,0.067,3.167,0.967,0.433,0.078,0.456,0.167,0.122,0.067,1.744,1.1,166.544,2.167,1.878,2.122,1.767,2.167,1.222,0.278,0.056,0.489,0.244,0.033,0.156,0.544,0.056,0.067,0.033,0.133,0.378,0.022,0.156,0.044,0.044,0.0,0.011,3.478,2.089,1.1,1.1,1.867,1.733,1.2,1.2,0.8,0.267,0.333,1.267,0.922,0.356,0.756,0.156,0.011,0.456,0.089,0.044,0.0,0.056,0.011,0.022,0.0,0.3,0.189,26.132,0.533,0.411,0.389,0.333,0.267,0.167,0.033,0.0,0.044,0.011,0.022,0.033,0.067,0.0,0.0,0.022,0.022,0.022,0.011,0.044,0.0,0.0,0.0,0.0,0.567,0.3,0.2,0.2,0.489,0.422,0.144,0.144,0.078,0.022,0.033
Adam Matthews,19.0,16.0,3.0,14.0,2.0,0.0,6.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,500.26834,5.0,3.0,4.0,3.0,10.0,10.0,0,0,1,1,0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,4.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.748283,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.8421052631578947,1.0,0.7,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6,0.75,1.0,0.6666666666666666,0.0,0.0,0.0,26.329912687602796,1.0,0.211,0.178,0.033,0.156,0.022,0.0,0.067,0.033,0.022,0.0,0.011,0.011,0.011,0.011,0.033,0.022,5.559,0.056,0.033,0.044,0.033,0.111,0.111,0.0,0.0,0.011,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.078,0.044,0.044,0.056,0.056,0.022,0.022,0.022,0.011,0.0,0.011,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0
Adam Smith,1274.0,1045.0,405.0,610.0,259.0,21.0,443.0,75.0,25.0,5.0,47.0,8.0,1.0,0.0,345.0,256.0,21799.473,645.0,592.0,432.0,354.0,144.0,80.0,14,0,16,43,2,5.0,28.0,18.0,15.0,1,4.0,14.0,1.0,10.0,6.0,6.0,7.0,6.0,590.0,407.0,171.0,171.0,482.0,467.0,73.0,73.0,40.0,6.0,14,145.0,98.0,37.0,68.0,40.0,2.0,38.0,10.0,3.0,2.0,8.0,1.0,0.0,0.0,32.0,18.0,2468.3809,63.0,50.0,42.0,36.0,21.0,8.0,3,0,1,7,0,0.0,3.0,5.0,4.0,0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,77.0,42.0,12.0,12.0,48.0,44.0,11.0,11.0,4.0,0.0,3,0.8202511773940345,0.6758620689655173,0.6898305084745763,0.5454545454545454,0.9688796680497925,1.0,0.9166666666666666,0.3333333333333333,0.1702127659574468,0.3,0.9178294573643411,0.8194444444444444,0.5555555555555556,0.7420289855072464,0.5625,0.023728813559322035,0.0,17.11104604101256,0.0,14.156,11.611,4.5,6.778,2.878,0.233,4.922,0.833,0.278,0.056,0.522,0.089,0.011,0.0,3.833,2.844,242.216,7.167,6.578,4.8,3.933,1.6,0.889,0.156,0.0,0.178,0.478,0.022,0.056,0.311,0.2,0.167,0.011,0.044,0.156,0.011,0.111,0.067,0.067,0.078,0.067,6.556,4.522,1.9,1.9,5.356,5.189,0.811,0.811,0.444,0.067,0.156,1.611,1.089,0.411,0.756,0.444,0.022,0.422,0.111,0.033,0.022,0.089,0.011,0.0,0.0,0.356,0.2,27.426,0.7,0.556,0.467,0.4,0.233,0.089,0.033,0.0,0.011,0.078,0.0,0.0,0.033,0.056,0.044,0.0,0.0,0.011,0.0,0.022,0.022,0.022,0.033,0.022,0.856,0.467,0.133,0.133,0.533,0.489,0.122,0.122,0.044,0.0,0.033
Adama Traoré Diarra,53.0,27.0,31.0,20.0,2.0,3.0,35.0,17.0,1.0,7.0,14.0,1.0,0.0,0.0,30.0,8.0,1156.5566,14.0,12.0,22.0,9.0,12.0,4.0,0,1,4,17,2,0.0,0.0,14.0,17.0,2,0.0,0.0,0.0,0.0,7.0,10.0,5.0,4.0,13.0,7.0,4.0,4.0,17.0,16.0,2.0,2.0,1.0,0.0,1,15.0,7.0,9.0,6.0,0.0,1.0,10.0,5.0,1.0,2.0,4.0,1.0,0.0,0.0,9.0,1.0,399.22577,4.0,4.0,5.0,1.0,4.0,2.0,0,1,3,6,1,0.0,0.0,4.0,5.0,1,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1,0.5094339622641509,0.4666666666666667,0.5384615384615384,0.3333333333333333,0.9411764705882353,1.0,1.0,0.058823529411764705,0.07142857142857142,0.2,0.8571428571428571,0.4090909090909091,0.3333333333333333,0.26666666666666666,0.1111111111111111,0.0,0.07692307692307693,21.82182340801887,0.0,0.589,0.3,0.344,0.222,0.022,0.033,0.389,0.189,0.011,0.078,0.156,0.011,0.0,0.0,0.333,0.089,12.851,0.156,0.133,0.244,0.1,0.133,0.044,0.0,0.011,0.044,0.189,0.022,0.0,0.0,0.156,0.189,0.022,0.0,0.0,0.0,0.0,0.078,0.111,0.056,0.044,0.144,0.078,0.044,0.044,0.189,0.178,0.022,0.022,0.011,0.0,0.011,0.167,0.078,0.1,0.067,0.0,0.011,0.111,0.056,0.011,0.022,0.044,0.011,0.0,0.0,0.1,0.011,4.436,0.044,0.044,0.056,0.011,0.044,0.022,0.0,0.011,0.033,0.067,0.011,0.0,0.0,0.044,0.056,0.011,0.0,0.0,0.0,0.0,0.022,0.033,0.022,0.022,0.033,0.011,0.011,0.011,0.056,0.056,0.0,0.0,0.0,0.0,0.011
Adlène Guédioura,298.0,187.0,99.0,165.0,34.0,2.0,144.0,51.0,12.0,6.0,38.0,5.0,3.0,1.0,90.0,46.0,6738.92,111.0,88.0,93.0,64.0,82.0,31.0,10,2,15,19,0,10.0,16.0,8.0,9.0,0,9.0,12.0,1.0,3.0,7.0,8.0,0.0,0.0,157.0,79.0,38.0,38.0,77.0,70.0,33.0,33.0,23.0,11.0,12,64.0,42.0,14.0,41.0,9.0,0.0,21.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,5.0,1065.0336,36.0,27.0,17.0,12.0,8.0,3.0,0,0,0,0,0,1.0,3.0,0.0,0.0,0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,17.0,5.0,5.0,22.0,20.0,5.0,5.0,4.0,1.0,0,0.62751677852349,0.65625,0.5031847133757962,0.5,0.9090909090909091,1.0,0.9090909090909091,0.23529411764705882,0.13157894736842105,0.5,0.7927927927927928,0.6881720430107527,0.3780487804878049,0.5111111111111111,0.5555555555555556,0.06369426751592357,0.012738853503184714,22.613825241191275,3.0,3.311,2.078,1.1,1.833,0.378,0.022,1.6,0.567,0.133,0.067,0.422,0.056,0.033,0.011,1.0,0.511,74.877,1.233,0.978,1.033,0.711,0.911,0.344,0.111,0.022,0.167,0.211,0.0,0.111,0.178,0.089,0.1,0.0,0.1,0.133,0.011,0.033,0.078,0.089,0.0,0.0,1.744,0.878,0.422,0.422,0.856,0.778,0.367,0.367,0.256,0.122,0.133,0.711,0.467,0.156,0.456,0.1,0.0,0.233,0.044,0.022,0.0,0.011,0.011,0.0,0.0,0.1,0.056,11.834,0.4,0.3,0.189,0.133,0.089,0.033,0.0,0.0,0.0,0.0,0.0,0.011,0.033,0.0,0.0,0.0,0.011,0.022,0.0,0.011,0.0,0.0,0.0,0.0,0.378,0.189,0.056,0.056,0.244,0.222,0.056,0.056,0.044,0.011,0.0
