player,goals,goals_penalty,goals_header,goals_left_foot,goals_right_foot,goals_other_body_part,goals_with_first_touch,goals_in_goal_area,goals_in_penalty_area,goals_in_attacking_third,goals_in_middle_third,goals_inside_penalty_area,goals_outside_penalty_area,goals_long_distance,goals_mid_distance,goals_short_distance,goals_avg_distance,shots_total,shots_on_target,shots_from_freekick,shots_from_penalty,shots_on_target_left_foot,shots_on_target_right_foot,shots_with_first_touch,shots_in_goal_area,shots_in_penalty_area,shots_in_attacking_third,shots_in_middle_third,shots_inside_penalty_area,shots_outside_penalty_area,shots_long_distance,shots_mid_distance,shots_short_distance,shots_avg_distance,goal_normal,goal_volley,goal_half_volley,goal_lob,goal_backheel,goal_overhead_kick,goal_diving_header,xG,big_chances_total,big_chances_led_to_goal,last_minute_goals,up_goals,up_goals_penalty,up_goals_header,up_goals_left_foot,up_goals_right_foot,up_goals_other_body_part,up_goals_with_first_touch,up_goals_in_goal_area,up_goals_in_penalty_area,up_goals_in_attacking_third,up_goals_in_middle_third,up_goals_inside_penalty_area,up_goals_outside_penalty_area,up_goals_long_distance,up_goals_mid_distance,up_goals_short_distance,up_goals_avg_distance,up_shots_total,up_shots_on_target,up_shots_from_freekick,up_shots_from_penalty,up_shots_on_target_left_foot,up_shots_on_target_right_foot,up_shots_with_first_touch,up_shots_in_goal_area,up_shots_in_penalty_area,up_shots_in_attacking_third,up_shots_in_middle_third,up_shots_inside_penalty_area,up_shots_outside_penalty_area,up_shots_long_distance,up_shots_mid_distance,up_shots_short_distance,up_shots_avg_distance,up_goal_normal,up_goal_volley,up_goal_half_volley,up_goal_lob,up_goal_backheel,up_goal_overhead_kick,up_goal_diving_header,up_xG,up_big_chances_total,up_big_chances_led_to_goal,up_last_minute_goals,equalizer,first_goal,leading_goal,goals_important,shots_on_target_%,shot_conversion_%,shot_conversion_on_target_%,big_chances_conversion_%,up_shot_conversion_%,up_shots_on_target_%,up_big_chances_conversion_%,shots_inside_the_box_%,shots_outside_the_box_%,goals_right_foot_%,goals_left_foot_%,goals_with_first_touch_%,big_chance_conversion_%,goals_outside_penalty_area_%,goals_inside_penalty_area_%,goals_header_%,goals_per_match,goals_penalty_per_match,goals_header_per_match,goals_left_foot_per_match,goals_right_foot_per_match,goals_other_body_part_per_match,goals_with_first_touch_per_match,goals_in_goal_area_per_match,goals_in_penalty_area_per_match,goals_in_attacking_third_per_match,goals_in_middle_third_per_match,goals_inside_penalty_area_per_match,goals_outside_penalty_area_per_match,goals_long_distance_per_match,goals_mid_distance_per_match,goals_short_distance_per_match,goals_avg_distance_per_match,shots_total_per_match,shots_on_target_per_match,shots_from_freekick_per_match,shots_from_penalty_per_match,shots_on_target_left_foot_per_match,shots_on_target_right_foot_per_match,shots_with_first_touch_per_match,shots_in_goal_area_per_match,shots_in_penalty_area_per_match,shots_in_attacking_third_per_match,shots_in_middle_third_per_match,shots_inside_penalty_area_per_match,shots_outside_penalty_area_per_match,shots_long_distance_per_match,shots_mid_distance_per_match,shots_short_distance_per_match,shots_avg_distance_per_match,goal_normal_per_match,goal_volley_per_match,goal_half_volley_per_match,goal_lob_per_match,goal_backheel_per_match,goal_overhead_kick_per_match,goal_diving_header_per_match,xG_per_match,big_chances_total_per_match,big_chances_led_to_goal_per_match,last_minute_goals_per_match,up_goals_per_match,up_goals_penalty_per_match,up_goals_header_per_match,up_goals_left_foot_per_match,up_goals_right_foot_per_match,up_goals_other_body_part_per_match,up_goals_with_first_touch_per_match,up_goals_in_goal_area_per_match,up_goals_in_penalty_area_per_match,up_goals_in_attacking_third_per_match,up_goals_in_middle_third_per_match,up_goals_inside_penalty_area_per_match,up_goals_outside_penalty_area_per_match,up_goals_long_distance_per_match,up_goals_mid_distance_per_match,up_goals_short_distance_per_match,up_goals_avg_distance_per_match,up_shots_total_per_match,up_shots_on_target_per_match,up_shots_from_freekick_per_match,up_shots_from_penalty_per_match,up_shots_on_target_left_foot_per_match,up_shots_on_target_right_foot_per_match,up_shots_with_first_touch_per_match,up_shots_in_goal_area_per_match,up_shots_in_penalty_area_per_match,up_shots_in_attacking_third_per_match,up_shots_in_middle_third_per_match,up_shots_inside_penalty_area_per_match,up_shots_outside_penalty_area_per_match,up_shots_long_distance_per_match,up_shots_mid_distance_per_match,up_shots_short_distance_per_match,up_shots_avg_distance_per_match,up_goal_normal_per_match,up_goal_volley_per_match,up_goal_half_volley_per_match,up_goal_lob_per_match,up_goal_backheel_per_match,up_goal_overhead_kick_per_match,up_goal_diving_header_per_match,up_xG_per_match,up_big_chances_total_per_match,up_big_chances_led_to_goal_per_match,up_last_minute_goals_per_match,equalizer_per_match,first_goal_per_match,leading_goal_per_match,goals_important_per_match
Aarón Escandell Banacloche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoul Karim Yoda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,0.0,8.0,2.0,1.0,5.0,11.44850472770848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.830658769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8944271909999126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.089,0.056,0.0,0.0,0.033,0.022,0.022,0.011,0.044,0.011,0.011,0.0,0.089,0.022,0.011,0.056,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.011,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Doucouré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,1.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,10.0,3.0,4.0,3.0,25.441745115619067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759715562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.053506231056277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48196983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.111,0.067,0.0,0.0,0.011,0.044,0.056,0.0,0.044,0.0,0.0,0.0,0.111,0.033,0.044,0.033,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abraham González Casanova,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,10.678014796768176,16.0,12.0,0.0,0.0,2.0,9.0,9.0,2.0,10.0,2.0,2.0,0.0,16.0,2.0,4.0,10.0,19.549318099804573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8344165205,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,10.678014796768176,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,8.429856288845478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39551677,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,0.062,0.083,0.0,0.333,0.667,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.178,0.0,0.011,0.0,0.119,0.178,0.133,0.0,0.0,0.022,0.1,0.1,0.022,0.111,0.022,0.022,0.0,0.178,0.022,0.044,0.111,0.217,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.033,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.033,0.0,0.011,0.0,0.119,0.033,0.022,0.0,0.0,0.0,0.011,0.011,0.011,0.022,0.011,0.011,0.0,0.033,0.0,0.011,0.022,0.094,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.011,0.0,0.011
Adalberto Peñaranda Maestre,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,22.0,1.0,4.0,0.0,18.1439569273157,22.0,14.0,0.0,0.0,2.0,12.0,3.0,0.0,13.0,0.0,0.0,0.0,22.0,7.0,8.0,7.0,22.363714668946727,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8952018255,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,6.01744563227654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643090922,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.636,0.227,0.357,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0,4.4,0.0,0.0,0.056,0.0,0.0,0.0,0.056,0.0,0.011,0.0,0.044,0.0,0.0,0.0,0.244,0.011,0.044,0.0,0.202,0.244,0.156,0.0,0.0,0.022,0.133,0.033,0.0,0.144,0.0,0.0,0.0,0.244,0.078,0.089,0.078,0.248,0.044,0.0,0.011,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.044,0.044,0.0,0.0,0.022,0.022,0.011,0.0,0.033,0.0,0.0,0.0,0.044,0.0,0.011,0.033,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.022,0.011,0.011,0.044
Aderllan Leandro de Jesus Santos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,8.0,1.0,2.0,5.0,16.556382370394495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.080424582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,7.221010584132419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17520438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.089,0.033,0.0,0.0,0.0,0.022,0.033,0.022,0.033,0.022,0.022,0.0,0.089,0.011,0.022,0.056,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.022,0.011,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.011,0.011,0.0,0.022,0.0,0.011,0.011,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adil Rami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,0.0,2.0,4.0,4.0,11.0,4.0,4.0,0.0,16.0,0.0,5.0,11.0,16.559112657034092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.589605585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,2.0,2.0,0.0,7.0,0.0,3.0,4.0,8.355944025889846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.776515326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312,0.0,0.0,0.0,0.0,0.429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.0,0.0,0.0,0.0,0.178,0.056,0.0,0.0,0.0,0.022,0.044,0.044,0.122,0.044,0.044,0.0,0.178,0.0,0.056,0.122,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.033,0.0,0.0,0.0,0.011,0.0,0.022,0.056,0.022,0.022,0.0,0.078,0.0,0.033,0.044,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adnane Tighadouini,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,31.599050618649922,15.0,10.0,1.0,0.0,4.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,15.0,7.0,1.0,7.0,33.77196792358622,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8237514830000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,19.385490730714523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262279596,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.667,0.067,0.1,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.011,0.0,0.0,0.351,0.167,0.111,0.011,0.0,0.044,0.067,0.0,0.0,0.078,0.0,0.0,0.0,0.167,0.078,0.011,0.078,0.375,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.044,0.022,0.0,0.0,0.011,0.011,0.0,0.0,0.033,0.0,0.0,0.0,0.044,0.022,0.0,0.022,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.011,0.0,0.011
Adriano Correia Claro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.34020966738555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03642713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Embarba Blázquez,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,1.0,1.0,10.488873491536822,40.0,24.0,0.0,0.0,10.0,13.0,10.0,0.0,21.0,0.0,0.0,0.0,40.0,15.0,15.0,10.0,31.094656579662114,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4780389766,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,14.4157270713279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473457292,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.6,0.05,0.083,0.5,0.0,0.667,0.0,0.0,1.0,0.5,0.5,0.5,0.5,20.0,0.0,0.0,0.022,0.0,0.0,0.011,0.011,0.0,0.011,0.0,0.022,0.0,0.0,0.0,0.444,0.0,0.011,0.011,0.117,0.444,0.267,0.0,0.0,0.111,0.144,0.111,0.0,0.233,0.0,0.0,0.0,0.444,0.167,0.167,0.111,0.345,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.022,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.067,0.044,0.0,0.0,0.022,0.022,0.022,0.0,0.044,0.0,0.0,0.0,0.067,0.011,0.044,0.011,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.011,0.011,0.0,0.022
Adrián González Morales,5.0,0.0,1.0,2.0,2.0,0.0,3.0,3.0,2.0,3.0,3.0,0.0,47.0,0.0,3.0,2.0,16.404868345822514,47.0,36.0,0.0,0.0,18.0,10.0,20.0,5.0,19.0,5.0,5.0,0.0,47.0,15.0,9.0,23.0,24.400081740710085,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.82548553,5.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,14.0,0.0,1.0,1.0,5.986958657002882,14.0,10.0,0.0,0.0,3.0,1.0,1.0,2.0,7.0,2.0,2.0,0.0,14.0,3.0,3.0,8.0,9.880259578760477,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.424247309,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.766,0.106,0.139,0.4,0.143,0.714,1.0,0.0,1.0,0.4,0.4,0.6,0.4,9.4,0.0,0.2,0.056,0.0,0.011,0.022,0.022,0.0,0.033,0.033,0.022,0.033,0.033,0.0,0.522,0.0,0.033,0.022,0.182,0.522,0.4,0.0,0.0,0.2,0.111,0.222,0.056,0.211,0.056,0.056,0.0,0.522,0.167,0.1,0.256,0.271,0.022,0.0,0.022,0.011,0.0,0.0,0.0,0.054,0.056,0.022,0.0,0.022,0.0,0.011,0.0,0.011,0.0,0.011,0.022,0.0,0.022,0.022,0.0,0.156,0.0,0.011,0.011,0.067,0.156,0.111,0.0,0.0,0.033,0.011,0.011,0.022,0.078,0.022,0.022,0.0,0.156,0.033,0.033,0.089,0.11,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.016,0.011,0.011,0.0,0.0,0.022,0.0,0.022
Adrián López Álvarez,4.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,8.0,0.0,3.0,1.0,12.83130207880971,8.0,7.0,0.0,0.0,3.0,4.0,3.0,1.0,7.0,1.0,1.0,0.0,8.0,0.0,5.0,3.0,10.78753105171173,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.63362733,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.875,0.5,0.571,1.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,0.5,1.0,2.0,0.0,0.0,0.044,0.0,0.0,0.011,0.033,0.0,0.022,0.011,0.033,0.011,0.011,0.0,0.089,0.0,0.033,0.011,0.143,0.089,0.078,0.0,0.0,0.033,0.044,0.033,0.011,0.078,0.011,0.011,0.0,0.089,0.0,0.056,0.033,0.12,0.022,0.011,0.0,0.011,0.0,0.0,0.0,0.029,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.022
Adrián Marín Gómez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.72006289292628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016992906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
