player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,offside,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,up_offside,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry_%,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%,touches_total_per_match,touches_in_defending_penalty_per_match,touches_in_defending_third_per_match,touches_in_middle_third_per_match,touches_in_attacking_third_per_match,touches_in_attacking_penalty_per_match,dribbling_total_per_match,dribbling_completed_per_match,dribbling_not_completed_per_match,dribbling_overrun_per_match,dribbling_through_legs_per_match,dribbling_push_and_run_per_match,carries_total_per_match,carry_into_attacking_third_per_match,carry_into_penalty_area_per_match,carry_into_edge_of_the_box_per_match,carry_distance_per_match,progressive_carry_total_per_match,progressive_carry_distance_per_match,miscontrol_total_per_match,miscontrol_in_aerial_duel_per_match,dispossessed_total_per_match,dispossessed_in_defending_penalty_area_per_match,dispossessed_in_defending_third_per_match,dispossessed_in_middle_third_per_match,dispossessed_in_attacking_third_per_match,dispossessed_in_penalty_area_per_match,balls_received_per_match,balls_received_successful_per_match,error_lead_to_goal_per_match,offside_per_match,up_touches_total_per_match,up_touches_in_defending_penalty_per_match,up_touches_in_defending_third_per_match,up_touches_in_middle_third_per_match,up_touches_in_attacking_third_per_match,up_touches_in_attacking_penalty_per_match,up_dribbling_total_per_match,up_dribbling_completed_per_match,up_dribbling_not_completed_per_match,up_dribbling_overrun_per_match,up_dribbling_through_legs_per_match,up_dribbling_push_and_run_per_match,up_carries_total_per_match,up_carry_into_attacking_third_per_match,up_carry_into_penalty_area_per_match,up_carry_into_edge_of_the_box_per_match,up_carry_distance_per_match,up_progressive_carry_total_per_match,up_progressive_carry_distance_per_match,up_miscontrol_total_per_match,up_miscontrol_in_aerial_duel_per_match,up_dispossessed_total_per_match,up_dispossessed_in_defending_penalty_area_per_match,up_dispossessed_in_defending_third_per_match,up_dispossessed_in_middle_third_per_match,up_dispossessed_in_attacking_third_per_match,up_dispossessed_in_penalty_area_per_match,up_balls_received_per_match,up_balls_received_successful_per_match,up_error_lead_to_goal_per_match,up_offside_per_match,distance_per_progressive_carry_per_match
Aarón Escandell Banacloche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoul Karim Yoda,1707.0,45.0,367.0,857.0,483.0,47.0,67.0,40.0,27.0,6,1,0,447.0,47.0,13.0,2.0,3676.639239202326,300.0,3230.8702586224044,27.0,2,18.0,0.0,2.0,3.0,13.0,4.0,443.0,397.0,0.0,0.0,425.0,27.0,101.0,174.0,150.0,15.0,67.0,40.0,27.0,6,1,0,182.0,27.0,12.0,2.0,1975.4721876778935,138.0,1784.7838486389203,7.0,2,18.0,0.0,2.0,3.0,13.0,4.0,27.0,24.0,0.0,0.0,0.026362038664323375,0.21499707088459286,0.502050380785003,0.28295254833040423,0.02753368482718219,0.8961625282167043,0.5970149253731343,8.225143711862026,0.10514541387024609,0.029082774049217,0.0044742729306487695,10.769567528741348,0.040268456375838924,18.967,0.5,4.078,9.522,5.367,0.522,0.744,0.444,0.3,0.067,0.011,0.0,4.967,0.522,0.144,0.022,40.852,3.333,35.899,0.3,0.022,0.2,0.0,0.022,0.033,0.144,0.044,4.922,4.411,0.0,0.0,4.722,0.3,1.122,1.933,1.667,0.167,0.744,0.444,0.3,0.067,0.011,0.0,2.022,0.3,0.133,0.022,21.95,1.533,19.831,0.078,0.022,0.2,0.0,0.022,0.033,0.144,0.044,0.3,0.267,0.0,0.0,0.12
Abdoulaye Doucouré,1814.0,39.0,354.0,1179.0,281.0,31.0,18.0,10.0,8.0,2,2,0,474.0,7.0,2.0,1.0,2416.9286620207613,246.0,1692.502979146298,10.0,1,15.0,0.0,1.0,7.0,7.0,0.0,483.0,434.0,0.0,0.0,434.0,18.0,109.0,257.0,68.0,6.0,18.0,10.0,8.0,2,2,0,162.0,2.0,0.0,0.0,908.6369938123916,79.0,518.1652826387328,4.0,1,15.0,0.0,1.0,7.0,7.0,0.0,35.0,35.0,0.0,0.0,0.021499448732083794,0.19514884233737598,0.6499448732083792,0.15490628445424476,0.017089305402425578,0.8985507246376812,0.5555555555555556,5.099005616077555,0.014767932489451477,0.004219409282700422,0.002109704641350211,6.880093411163813,0.03164556962025317,20.156,0.433,3.933,13.1,3.122,0.344,0.2,0.111,0.089,0.022,0.022,0.0,5.267,0.078,0.022,0.011,26.855,2.733,18.806,0.111,0.011,0.167,0.0,0.011,0.078,0.078,0.0,5.367,4.822,0.0,0.0,4.822,0.2,1.211,2.856,0.756,0.067,0.2,0.111,0.089,0.022,0.022,0.0,1.8,0.022,0.0,0.0,10.096,0.878,5.757,0.044,0.011,0.167,0.0,0.011,0.078,0.078,0.0,0.389,0.389,0.0,0.0,0.076
Abraham González Casanova,1626.0,22.0,266.0,958.0,402.0,60.0,6.0,2.0,4.0,3,0,0,381.0,4.0,2.0,2.0,1423.4178446162016,188.0,929.7257421520851,13.0,0,7.0,0.0,1.0,4.0,2.0,0.0,505.0,412.0,0.0,0.0,293.0,7.0,52.0,188.0,53.0,8.0,6.0,2.0,4.0,3,0,0,92.0,2.0,1.0,1.0,397.5541456417105,44.0,228.14319143043633,0.0,0,7.0,0.0,1.0,4.0,2.0,0.0,33.0,32.0,0.0,0.0,0.013530135301353014,0.16359163591635917,0.5891758917589176,0.24723247232472326,0.03690036900369004,0.8158415841584158,0.3333333333333333,3.73600484151234,0.010498687664041995,0.005249343832020997,0.005249343832020997,4.945349692298325,0.01837270341207349,18.067,0.244,2.956,10.644,4.467,0.667,0.067,0.022,0.044,0.033,0.0,0.0,4.233,0.044,0.022,0.022,15.816,2.089,10.33,0.144,0.0,0.078,0.0,0.011,0.044,0.022,0.0,5.611,4.578,0.0,0.0,3.256,0.078,0.578,2.089,0.589,0.089,0.067,0.022,0.044,0.033,0.0,0.0,1.022,0.022,0.011,0.011,4.417,0.489,2.535,0.0,0.0,0.078,0.0,0.011,0.044,0.022,0.0,0.367,0.356,0.0,0.0,0.055
Adalberto Peñaranda Maestre,2153.0,5.0,75.0,1070.0,1008.0,133.0,66.0,40.0,26.0,3,0,0,510.0,54.0,24.0,4.0,4616.238638236762,300.0,3576.5628209582023,59.0,2,63.0,0.0,0.0,27.0,36.0,7.0,766.0,467.0,0.0,1.0,910.0,5.0,33.0,488.0,389.0,52.0,66.0,40.0,26.0,3,0,0,356.0,40.0,20.0,3.0,3577.002136746977,211.0,2708.4482300934988,17.0,2,63.0,0.0,0.0,27.0,36.0,7.0,111.0,110.0,0.0,0.0,0.0023223409196470044,0.03483511379470506,0.4969809568044589,0.46818392940083603,0.06177426846261031,0.6096605744125326,0.6060606060606061,9.051448310268162,0.10588235294117647,0.047058823529411764,0.00784313725490196,11.921876069860675,0.12352941176470589,23.922,0.056,0.833,11.889,11.2,1.478,0.733,0.444,0.289,0.033,0.0,0.0,5.667,0.6,0.267,0.044,51.292,3.333,39.74,0.656,0.022,0.7,0.0,0.0,0.3,0.4,0.078,8.511,5.189,0.0,0.011,10.111,0.056,0.367,5.422,4.322,0.578,0.733,0.444,0.289,0.033,0.0,0.0,3.956,0.444,0.222,0.033,39.744,2.344,30.094,0.189,0.022,0.7,0.0,0.0,0.3,0.4,0.078,1.233,1.222,0.0,0.0,0.132
Aderllan Leandro de Jesus Santos,1922.0,178.0,1061.0,825.0,36.0,26.0,9.0,8.0,1.0,0,1,0,460.0,2.0,0.0,0.0,2125.005706888027,244.0,1480.4177849188259,4.0,0,4.0,0.0,2.0,2.0,0.0,0.0,486.0,481.0,0.0,0.0,341.0,105.0,247.0,85.0,9.0,8.0,9.0,8.0,1.0,0,1,0,70.0,1.0,0.0,0.0,455.6008429761589,45.0,354.71294047761796,3.0,0,4.0,0.0,2.0,2.0,0.0,0.0,12.0,12.0,0.0,0.0,0.09261186264308012,0.5520291363163371,0.4292403746097815,0.018730489073881373,0.013527575442247659,0.9897119341563786,0.8888888888888888,4.619577623669624,0.004347826086956522,0.0,0.0,6.0672860037656795,0.008695652173913044,21.356,1.978,11.789,9.167,0.4,0.289,0.1,0.089,0.011,0.0,0.011,0.0,5.111,0.022,0.0,0.0,23.611,2.711,16.449,0.044,0.0,0.044,0.0,0.022,0.022,0.0,0.0,5.4,5.344,0.0,0.0,3.789,1.167,2.744,0.944,0.1,0.089,0.1,0.089,0.011,0.0,0.011,0.0,0.778,0.011,0.0,0.0,5.062,0.5,3.941,0.033,0.0,0.044,0.0,0.022,0.022,0.0,0.0,0.133,0.133,0.0,0.0,0.067
Adil Rami,2940.0,326.0,1737.0,1052.0,151.0,82.0,5.0,3.0,2.0,0,0,0,722.0,7.0,0.0,0.0,4689.615428164186,413.0,3463.6141057876803,6.0,0,7.0,1.0,6.0,1.0,0.0,0.0,739.0,716.0,0.0,0.0,497.0,122.0,300.0,149.0,48.0,29.0,5.0,3.0,2.0,0,0,0,129.0,2.0,0.0,0.0,1107.7813207204008,59.0,680.7008765830215,0.0,0,7.0,1.0,6.0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,0.1108843537414966,0.5908163265306122,0.3578231292517007,0.05136054421768708,0.027891156462585033,0.9688768606224628,0.6,6.495312227374218,0.009695290858725761,0.0,0.0,8.38647483241569,0.009695290858725761,32.667,3.622,19.3,11.689,1.678,0.911,0.056,0.033,0.022,0.0,0.0,0.0,8.022,0.078,0.0,0.0,52.107,4.589,38.485,0.067,0.0,0.078,0.011,0.067,0.011,0.0,0.0,8.211,7.956,0.0,0.0,5.522,1.356,3.333,1.656,0.533,0.322,0.056,0.033,0.022,0.0,0.0,0.0,1.433,0.022,0.0,0.0,12.309,0.656,7.563,0.0,0.0,0.078,0.011,0.067,0.011,0.0,0.0,0.167,0.167,0.0,0.0,0.093
Adnane Tighadouini,632.0,0.0,30.0,299.0,303.0,49.0,34.0,16.0,18.0,3,1,1,155.0,10.0,11.0,0.0,1226.8695904814545,100.0,1013.6319010650124,12.0,0,5.0,0.0,0.0,1.0,4.0,2.0,220.0,146.0,0.0,0.0,204.0,0.0,11.0,95.0,98.0,20.0,34.0,16.0,18.0,3,1,1,89.0,5.0,11.0,0.0,832.094849034112,63.0,691.6566038054902,6.0,0,5.0,0.0,0.0,1.0,4.0,2.0,15.0,15.0,0.0,0.0,0.0,0.04746835443037975,0.47310126582278483,0.47943037974683544,0.07753164556962025,0.6636363636363637,0.47058823529411764,7.915287680525513,0.06451612903225806,0.07096774193548387,0.0,10.136319010650123,0.03225806451612903,7.022,0.0,0.333,3.322,3.367,0.544,0.378,0.178,0.2,0.033,0.011,0.011,1.722,0.111,0.122,0.0,13.632,1.111,11.263,0.133,0.0,0.056,0.0,0.0,0.011,0.044,0.022,2.444,1.622,0.0,0.0,2.267,0.0,0.122,1.056,1.089,0.222,0.378,0.178,0.2,0.033,0.011,0.011,0.989,0.056,0.122,0.0,9.245,0.7,7.685,0.067,0.0,0.056,0.0,0.0,0.011,0.044,0.022,0.167,0.167,0.0,0.0,0.113
Adriano Correia Claro,1002.0,9.0,187.0,491.0,324.0,14.0,3.0,3.0,0.0,0,1,0,279.0,9.0,1.0,0.0,1368.925087295293,152.0,967.2928605706543,3.0,0,3.0,0.0,1.0,1.0,1.0,0.0,291.0,277.0,2.0,0.0,134.0,5.0,40.0,55.0,39.0,0.0,3.0,3.0,0.0,0,1,0,60.0,4.0,0.0,0.0,471.67697510516797,25.0,232.19197550224678,0.0,0,3.0,0.0,1.0,1.0,1.0,0.0,11.0,11.0,0.0,0.0,0.008982035928143712,0.18662674650698602,0.49001996007984033,0.32335329341317365,0.013972055888223553,0.9518900343642611,1.0,4.906541531524348,0.03225806451612903,0.0035842293906810036,0.0,6.363768819543778,0.010752688172043012,11.133,0.1,2.078,5.456,3.6,0.156,0.033,0.033,0.0,0.0,0.011,0.0,3.1,0.1,0.011,0.0,15.21,1.689,10.748,0.033,0.0,0.033,0.0,0.011,0.011,0.011,0.0,3.233,3.078,0.022,0.0,1.489,0.056,0.444,0.611,0.433,0.0,0.033,0.033,0.0,0.0,0.011,0.0,0.667,0.044,0.0,0.0,5.241,0.278,2.58,0.0,0.0,0.033,0.0,0.011,0.011,0.011,0.0,0.122,0.122,0.0,0.0,0.071
Adrián Embarba Blázquez,3055.0,40.0,334.0,1268.0,1453.0,175.0,70.0,30.0,40.0,9,2,1,752.0,59.0,18.0,3.0,5938.816150763585,482.0,4880.444757702726,62.0,4,62.0,0.0,4.0,24.0,34.0,2.0,962.0,738.0,0.0,0.0,909.0,27.0,141.0,382.0,386.0,45.0,70.0,30.0,40.0,9,2,1,345.0,22.0,8.0,0.0,2909.9997813674945,215.0,2216.102949106521,21.0,4,62.0,0.0,4.0,24.0,34.0,2.0,84.0,83.0,0.0,0.0,0.01309328968903437,0.10932896890343699,0.41505728314238954,0.4756137479541735,0.057283142389525366,0.7671517671517671,0.42857142857142855,7.89736190261115,0.07845744680851063,0.023936170212765957,0.003989361702127659,10.125404061623913,0.08244680851063829,33.944,0.444,3.711,14.089,16.144,1.944,0.778,0.333,0.444,0.1,0.022,0.011,8.356,0.656,0.2,0.033,65.987,5.356,54.227,0.689,0.044,0.689,0.0,0.044,0.267,0.378,0.022,10.689,8.2,0.0,0.0,10.1,0.3,1.567,4.244,4.289,0.5,0.778,0.333,0.444,0.1,0.022,0.011,3.833,0.244,0.089,0.0,32.333,2.389,24.623,0.233,0.044,0.689,0.0,0.044,0.267,0.378,0.022,0.933,0.922,0.0,0.0,0.113
Adrián González Morales,3138.0,49.0,337.0,1941.0,860.0,122.0,29.0,12.0,17.0,2,4,0,686.0,26.0,5.0,1.0,2895.7637825622014,352.0,2006.4983830528186,29.0,4,29.0,0.0,3.0,17.0,9.0,0.0,935.0,774.0,0.0,1.0,825.0,28.0,116.0,480.0,229.0,32.0,29.0,12.0,17.0,2,4,0,267.0,8.0,2.0,1.0,1371.0230719143178,142.0,818.7690051966259,10.0,4,29.0,0.0,3.0,17.0,9.0,0.0,98.0,97.0,0.0,0.0,0.01561504142766093,0.10739324410452518,0.6185468451242829,0.27405991077119185,0.038878266411727216,0.827807486631016,0.41379310344827586,4.221230003734988,0.037900874635568516,0.007288629737609329,0.0014577259475218659,5.700279497309143,0.04227405247813411,34.867,0.544,3.744,21.567,9.556,1.356,0.322,0.133,0.189,0.022,0.044,0.0,7.622,0.289,0.056,0.011,32.175,3.911,22.294,0.322,0.044,0.322,0.0,0.033,0.189,0.1,0.0,10.389,8.6,0.0,0.011,9.167,0.311,1.289,5.333,2.544,0.356,0.322,0.133,0.189,0.022,0.044,0.0,2.967,0.089,0.022,0.011,15.234,1.578,9.097,0.111,0.044,0.322,0.0,0.033,0.189,0.1,0.0,1.089,1.078,0.0,0.0,0.063
Adrián López Álvarez,1371.0,9.0,72.0,713.0,586.0,96.0,24.0,9.0,15.0,1,1,0,302.0,22.0,17.0,6.0,1826.294523702436,172.0,1552.2637077505624,24.0,1,25.0,0.0,2.0,7.0,16.0,2.0,557.0,379.0,0.0,1.0,420.0,6.0,40.0,227.0,153.0,13.0,24.0,9.0,15.0,1,1,0,159.0,12.0,9.0,4.0,977.5581468051773,96.0,794.1050568398347,7.0,1,25.0,0.0,2.0,7.0,16.0,2.0,53.0,52.0,0.0,0.0,0.006564551422319475,0.0525164113785558,0.5200583515681984,0.4274252370532458,0.0700218818380744,0.6804308797127468,0.375,6.047332859941841,0.0728476821192053,0.056291390728476824,0.019867549668874173,9.02478899854978,0.08278145695364239,15.233,0.1,0.8,7.922,6.511,1.067,0.267,0.1,0.167,0.011,0.011,0.0,3.356,0.244,0.189,0.067,20.292,1.911,17.247,0.267,0.011,0.278,0.0,0.022,0.078,0.178,0.022,6.189,4.211,0.0,0.011,4.667,0.067,0.444,2.522,1.7,0.144,0.267,0.1,0.167,0.011,0.011,0.0,1.767,0.133,0.1,0.044,10.862,1.067,8.823,0.078,0.011,0.278,0.0,0.022,0.078,0.178,0.022,0.589,0.578,0.0,0.0,0.1
Adrián Marín Gómez,1450.0,52.0,434.0,739.0,277.0,9.0,17.0,8.0,9.0,1,2,0,345.0,14.0,3.0,0.0,1591.0033145814537,188.0,1228.9449325294333,7.0,0,4.0,0.0,1.0,2.0,1.0,0.0,344.0,324.0,1.0,0.0,275.0,16.0,112.0,115.0,48.0,2.0,17.0,8.0,9.0,1,2,0,92.0,4.0,1.0,0.0,544.6071281286454,48.0,379.8388168107833,4.0,0,4.0,0.0,1.0,2.0,1.0,0.0,16.0,16.0,0.0,0.0,0.03586206896551724,0.2993103448275862,0.5096551724137931,0.1910344827586207,0.006206896551724138,0.9418604651162791,0.47058823529411764,4.611603810381025,0.04057971014492753,0.008695652173913044,0.0,6.536941130475709,0.011594202898550725,16.111,0.578,4.822,8.211,3.078,0.1,0.189,0.089,0.1,0.011,0.022,0.0,3.833,0.156,0.033,0.0,17.678,2.089,13.655,0.078,0.0,0.044,0.0,0.011,0.022,0.011,0.0,3.822,3.6,0.011,0.0,3.056,0.178,1.244,1.278,0.533,0.022,0.189,0.089,0.1,0.011,0.022,0.0,1.022,0.044,0.011,0.0,6.051,0.533,4.22,0.044,0.0,0.044,0.0,0.011,0.022,0.011,0.0,0.178,0.178,0.0,0.0,0.073
Ager Aketxe Barrutia,322.0,2.0,33.0,135.0,154.0,12.0,2.0,1.0,1.0,0,0,0,73.0,5.0,1.0,0.0,393.28997519220013,45.0,311.83428745798255,4.0,0,12.0,0.0,1.0,3.0,8.0,0.0,107.0,83.0,0.0,0.0,87.0,1.0,16.0,37.0,34.0,0.0,2.0,1.0,1.0,0,0,0,32.0,2.0,0.0,0.0,160.65004451118588,21.0,124.36317943357078,0.0,0,12.0,0.0,1.0,3.0,8.0,0.0,7.0,7.0,0.0,0.0,0.006211180124223602,0.10248447204968944,0.4192546583850932,0.4782608695652174,0.037267080745341616,0.7757009345794392,0.5,5.387533906742467,0.0684931506849315,0.0136986301369863,0.0,6.929650832399612,0.1643835616438356,3.578,0.022,0.367,1.5,1.711,0.133,0.022,0.011,0.011,0.0,0.0,0.0,0.811,0.056,0.011,0.0,4.37,0.5,3.465,0.044,0.0,0.133,0.0,0.011,0.033,0.089,0.0,1.189,0.922,0.0,0.0,0.967,0.011,0.178,0.411,0.378,0.0,0.022,0.011,0.011,0.0,0.0,0.0,0.356,0.022,0.0,0.0,1.785,0.233,1.382,0.0,0.0,0.133,0.0,0.011,0.033,0.089,0.0,0.078,0.078,0.0,0.0,0.077
Alberto De La Bella Madureño,2051.0,58.0,521.0,835.0,695.0,43.0,10.0,5.0,5.0,0,0,0,433.0,16.0,3.0,1.0,2340.9793948245115,247.0,1641.350769230998,7.0,1,7.0,0.0,0.0,2.0,5.0,0.0,559.0,502.0,1.0,0.0,398.0,30.0,142.0,120.0,136.0,19.0,10.0,5.0,5.0,0,0,0,105.0,4.0,2.0,1.0,771.3432224675629,57.0,459.04433142488324,3.0,1,7.0,0.0,0.0,2.0,5.0,0.0,39.0,37.0,0.0,0.0,0.028278888347147733,0.25402242808386155,0.40711847879083374,0.3388590931253047,0.020965382740126767,0.8980322003577818,0.5,5.406418925691712,0.03695150115473441,0.006928406466512702,0.0023094688221709007,6.645144814700396,0.016166281755196306,22.789,0.644,5.789,9.278,7.722,0.478,0.111,0.056,0.056,0.0,0.0,0.0,4.811,0.178,0.033,0.011,26.011,2.744,18.237,0.078,0.011,0.078,0.0,0.0,0.022,0.056,0.0,6.211,5.578,0.011,0.0,4.422,0.333,1.578,1.333,1.511,0.211,0.111,0.056,0.056,0.0,0.0,0.0,1.167,0.044,0.022,0.011,8.57,0.633,5.1,0.033,0.011,0.078,0.0,0.0,0.022,0.056,0.0,0.433,0.411,0.0,0.0,0.074
Alberto García Cabrera,387.0,320.0,385.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,84.0,0.0,0.0,0.0,448.5670185266041,59.0,351.3241862376604,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,39.0,36.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,22.0,0.0,0.0,0.0,108.0334369674238,16.0,87.15041692195484,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.8268733850129198,0.9948320413436692,0.00516795865633075,0.0,0.0,1.0,0.0,5.340083553888144,0.0,0.0,0.0,5.954647224367125,0.0,4.3,3.556,4.278,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933,0.0,0.0,0.0,4.984,0.656,3.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711,0.711,0.0,0.0,0.433,0.4,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.0,1.2,0.178,0.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.056,0.0,0.0,0.066
Alberto Guitián Ceballos,72.0,6.0,46.0,25.0,1.0,0.0,1.0,1.0,0.0,0,0,0,16.0,0.0,0.0,0.0,74.93397584346795,4.0,15.920913508713799,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,22.0,3.0,17.0,5.0,0.0,0.0,1.0,1.0,0.0,0,0,0,6.0,0.0,0.0,0.0,46.396798840927445,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.6388888888888888,0.3472222222222222,0.013888888888888888,0.0,1.0,1.0,4.683373490216747,0.0,0.0,0.0,3.9802283771784497,0.0625,0.8,0.067,0.511,0.278,0.011,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.178,0.0,0.0,0.0,0.833,0.044,0.177,0.0,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.089,0.089,0.0,0.0,0.244,0.033,0.189,0.056,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.516,0.0,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044
Alberto Lopo García,972.0,53.0,443.0,501.0,28.0,17.0,1.0,1.0,0.0,0,0,0,244.0,0.0,0.0,0.0,1108.5989101958705,139.0,798.4025178180723,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,247.0,0.0,0.0,156.0,30.0,91.0,59.0,6.0,4.0,1.0,1.0,0.0,0,0,0,32.0,0.0,0.0,0.0,218.61164261116943,16.0,165.61689354605738,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.05452674897119342,0.455761316872428,0.5154320987654321,0.02880658436213992,0.01748971193415638,0.9610894941634242,1.0,4.543438156540453,0.0,0.0,0.0,5.743903005885412,0.0,10.8,0.589,4.922,5.567,0.311,0.189,0.011,0.011,0.0,0.0,0.0,0.0,2.711,0.0,0.0,0.0,12.318,1.544,8.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.856,2.744,0.0,0.0,1.733,0.333,1.011,0.656,0.067,0.044,0.011,0.011,0.0,0.0,0.0,0.0,0.356,0.0,0.0,0.0,2.429,0.178,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.064
Alberto Lora Ramos,3573.0,154.0,984.0,1937.0,652.0,29.0,19.0,11.0,8.0,2,0,0,828.0,31.0,2.0,0.0,3665.273911703356,440.0,2502.033494434566,16.0,0,9.0,0.0,1.0,2.0,6.0,0.0,903.0,826.0,2.0,0.0,585.0,84.0,259.0,228.0,98.0,5.0,19.0,11.0,8.0,2,0,0,164.0,5.0,0.0,0.0,947.0880981992157,97.0,621.9527911091507,1.0,0,9.0,0.0,1.0,2.0,6.0,0.0,34.0,34.0,0.0,0.0,0.04310103554436048,0.2753988245172124,0.5421214665547159,0.18247970892807164,0.00811642877134061,0.9147286821705426,0.5789473684210527,4.426659313651396,0.03743961352657005,0.0024154589371980675,0.0,5.686439760078559,0.010869565217391304,39.7,1.711,10.933,21.522,7.244,0.322,0.211,0.122,0.089,0.022,0.0,0.0,9.2,0.344,0.022,0.0,40.725,4.889,27.8,0.178,0.0,0.1,0.0,0.011,0.022,0.067,0.0,10.033,9.178,0.022,0.0,6.5,0.933,2.878,2.533,1.089,0.056,0.211,0.122,0.089,0.022,0.0,0.0,1.822,0.056,0.0,0.0,10.523,1.078,6.911,0.011,0.0,0.1,0.0,0.011,0.022,0.067,0.0,0.378,0.378,0.0,0.0,0.063
